instance_family,node_count,salesman_count,solver,runs,avg_objective,avg_time_seconds,avg_step_time_seconds,valid_runs
clustered-offset-depot,200,2,lkh-wrapper-v6,1,433.193629,0.046346,0.046294,1
clustered-offset-depot,200,3,lkh-wrapper-v4,1,317.831245,0.013315,0.013277,1
clustered-offset-depot,200,3,lkh-wrapper-v5,1,567.157296,0.032403,0.032371,1
clustered-offset-depot,200,3,lkh-wrapper-v6,1,578.754083,0.047337,0.047263,1
clustered-offset-depot,200,5,lkh-wrapper-v4,1,317.645233,0.01493,0.014885,1
clustered-offset-depot,200,5,lkh-wrapper-v5,1,733.121737,0.030415,0.030372,1
clustered-offset-depot,200,5,lkh-wrapper-v6,1,773.305183,0.138701,0.138669,1
outliers,20,2,lkh-wrapper-v4,1,45.227535,0.000455,0.000417,1
outliers,20,2,lkh-wrapper-v5,1,45.227535,0.000932,0.000913,1
outliers,20,2,lkh-wrapper-v6,1,61.099837,0.001042,0.001028,1
outliers,20,3,lkh-wrapper-v4,1,47.434064,0.00037,0.000353,1
outliers,20,3,lkh-wrapper-v5,1,47.842002,0.000847,0.000833,1
outliers,20,3,lkh-wrapper-v6,1,51.973635,4.500142,4.500083,1
outliers,20,5,lkh-wrapper-v4,1,63.896416,0.000436,0.000422,1
outliers,20,5,lkh-wrapper-v5,1,75.453825,0.001081,0.001068,1
outliers,20,5,lkh-wrapper-v6,1,68.400264,0.001586,0.001571,1
outliers,50,2,lkh-wrapper-v4,1,151.157532,0.001254,0.001213,1
outliers,50,2,lkh-wrapper-v5,1,139.86761,0.003141,0.003116,1
outliers,50,2,lkh-wrapper-v6,1,163.320172,4.50009,4.500053,1
outliers,50,3,lkh-wrapper-v4,1,153.145088,0.001012,0.000977,1
outliers,50,3,lkh-wrapper-v5,1,158.67114,0.003992,0.00397,1
outliers,50,3,lkh-wrapper-v6,1,185.596464,0.005308,0.005289,1
outliers,50,5,lkh-wrapper-v4,1,145.013662,0.001156,0.00114,1
outliers,50,5,lkh-wrapper-v5,1,188.015905,0.003375,0.003344,1
outliers,50,5,lkh-wrapper-v6,1,194.474222,0.006762,0.006744,1
outliers,100,2,lkh-wrapper-v4,1,359.8548,0.003371,0.003355,1
outliers,100,2,lkh-wrapper-v5,1,368.341194,0.01372,0.013687,1
outliers,100,2,lkh-wrapper-v6,1,397.63648,0.011099,0.011069,1
outliers,100,3,lkh-wrapper-v4,1,386.220784,0.003323,0.003301,1
outliers,100,3,lkh-wrapper-v5,1,392.566492,0.012138,0.012112,1
