instance,path,node_count,salesman_count,solver,objective,time_seconds,valid,reference_solver,reference_objective,reference_time_seconds,reference_valid,objective_gap,relative_gap_percent
n200_m3_r02.txt,data\mtsp\generated\n200_m3_r02.txt,200,3,lkh-wrapper-v2,1203.4982059179392,0.026598,True,ortools-gls,1166.345448,5.000103,True,37.152758,3.185399
n200_m3_r03.txt,data\mtsp\generated\n200_m3_r03.txt,200,3,lkh-wrapper-v1,1313.970858328237,0.075053,True,ortools-gls,1117.749852,5.000038,True,196.221006,17.555002
n200_m3_r03.txt,data\mtsp\generated\n200_m3_r03.txt,200,3,lkh-wrapper-v2,1192.039948420943,0.029135,True,ortools-gls,1117.749852,5.000038,True,74.290096,6.646397
n200_m3_r04.txt,data\mtsp\generated\n200_m3_r04.txt,200,3,lkh-wrapper-v1,1281.662252539341,0.033963,True,ortools-gls,1100.437815,5.001371,True,181.224438,16.468394
n200_m3_r04.txt,data\mtsp\generated\n200_m3_r04.txt,200,3,lkh-wrapper-v2,1264.5101662648499,0.03358,True,ortools-gls,1100.437815,5.001371,True,164.072351,14.909734
n200_m3_r05.txt,data\mtsp\generated\n200_m3_r05.txt,200,3,lkh-wrapper-v1,1262.5011929659568,0.033646,True,ortools-gls,1153.99046,5.001161,True,108.510733,9.403088
n200_m3_r05.txt,data\mtsp\generated\n200_m3_r05.txt,200,3,lkh-wrapper-v2,1253.0742608733735,0.024935,True,ortools-gls,1153.99046,5.001161,True,99.083801,8.586189
n200_m3_r06.txt,data\mtsp\generated\n200_m3_r06.txt,200,3,lkh-wrapper-v1,1309.9072072549038,0.04298,True,ortools-gls,1156.017496,5.000744,True,153.889711,13.312057
n200_m3_r06.txt,data\mtsp\generated\n200_m3_r06.txt,200,3,lkh-wrapper-v2,1183.592364587887,0.026343,True,ortools-gls,1156.017496,5.000744,True,27.574869,2.385333
n200_m3_r07.txt,data\mtsp\generated\n200_m3_r07.txt,200,3,lkh-wrapper-v1,1327.3701944897907,0.057216,True,ortools-gls,1153.99884,5.00113,True,173.371354,15.023529
n200_m3_r07.txt,data\mtsp\generated\n200_m3_r07.txt,200,3,lkh-wrapper-v2,1196.262382755728,0.029224,True,ortools-gls,1153.99884,5.00113,True,42.263543,3.662356
n200_m3_r08.txt,data\mtsp\generated\n200_m3_r08.txt,200,3,lkh-wrapper-v1,1260.1033308027627,0.053539,True,ortools-gls,1142.306907,5.001709,True,117.796424,10.312152
n200_m3_r08.txt,data\mtsp\generated\n200_m3_r08.txt,200,3,lkh-wrapper-v2,1282.5749489582986,0.028772,True,ortools-gls,1142.306907,5.001709,True,140.268042,12.279366
