instance_family,node_count,salesman_count,solver,runs,valid_runs,best_baseline_valid_runs,avg_objective,avg_time_seconds,avg_best_baseline_objective,avg_best_baseline_time_seconds,avg_objective_gap,avg_relative_gap_percent,better_than_best_baseline_runs
clustered-center,500,2,rand+nn,1,1,1,1881.11239,0.000324,1041.766363,5.001087,839.346027,80.569507,0
clustered-center,500,3,2opt+greed,1,1,1,1603.110348,0.00211,1080.086405,5.000934,523.023943,48.424269,0
clustered-center,500,3,lkh-wrapper-v2,1,1,1,1040.916,0.338444,1080.086405,5.000934,-39.170405,-3.626599,1
clustered-center,500,3,lkh-wrapper-v3,1,1,1,1057.479193,0.066585,1080.086405,5.000934,-22.607212,-2.093093,1
clustered-center,500,3,rand+nn,1,1,1,2355.189563,0.000257,1080.086405,5.000934,1275.103158,118.055662,0
clustered-center,500,5,2opt+greed,1,1,1,2095.265347,0.00199,1205.83123,5.000525,889.434117,73.761078,0
clustered-center,500,5,lkh-wrapper-v2,1,1,1,1273.103344,0.381747,1205.83123,5.000525,67.272114,5.5789,0
clustered-center,500,5,lkh-wrapper-v3,1,1,1,1266.238493,0.054747,1205.83123,5.000525,60.407263,5.009595,0
clustered-center,500,5,rand+nn,1,1,1,3608.929737,0.000322,1205.83123,5.000525,2403.098507,199.289788,0
clustered-center,1000,3,2opt+greed,1,1,1,3955.030828,0.015367,3335.625776,1.226521,619.405052,18.569381,0
clustered-center,1000,3,lkh-wrapper-v2,1,1,1,3214.801986,2.544988,3335.625776,1.226521,-120.82379,-3.622223,1
clustered-center,1000,3,lkh-wrapper-v3,1,1,1,3227.650724,0.739601,3335.625776,1.226521,-107.975052,-3.237025,1
clustered-center,1000,3,rand+nn,1,1,1,6799.669318,0.001523,3335.625776,1.226521,3464.043542,103.849885,0
clustered-center,1000,5,2opt+greed,1,1,1,5026.595117,0.012,3472.404292,5.00174,1554.190825,44.758349,0
clustered-center,1000,5,lkh-wrapper-v2,1,1,1,3307.827614,3.068282,3472.404292,5.00174,-164.576678,-4.73956,1
clustered-center,1000,5,lkh-wrapper-v3,1,1,1,3314.017393,0.234575,3472.404292,5.00174,-158.386899,-4.561304,1
clustered-center,1000,5,rand+nn,1,1,1,9511.20608,0.002661,3472.404292,5.00174,6038.801788,173.908372,0
clustered-center,1000,7,2opt+greed,1,1,1,5755.324768,0.007238,3398.734214,5.0025,2356.590554,69.3373,0
clustered-center,1000,7,lkh-wrapper-v2,1,1,1,3503.177318,10.641077,3398.734214,5.0025,104.443104,3.073,0
clustered-center,1000,7,lkh-wrapper-v3,1,1,1,3318.582621,0.251277,3398.734214,5.0025,-80.151593,-2.358278,1
clustered-center,1000,7,rand+nn,1,1,1,11775.341896,0.000866,3398.734214,5.0025,8376.607682,246.46257,0
clustered-offset-depot,20,2,2opt+greed,1,1,1,68.396762,2.3e-05,40.038831,5.000404,28.357931,70.826071,0
clustered-offset-depot,20,2,lkh-wrapper-v2,1,1,1,54.536331,0.000552,40.038831,5.000404,14.4975,36.2086,0
clustered-offset-depot,20,2,lkh-wrapper-v3,1,1,1,54.536331,0.00053,40.038831,5.000404,14.4975,36.2086,0
clustered-offset-depot,20,2,rand+nn,1,1,1,69.894847,3.7e-05,40.038831,5.000404,29.856016,74.567652,0
clustered-offset-depot,20,3,2opt+greed,1,1,1,78.525284,2.8e-05,36.814266,5.000442,41.711018,113.301235,0
clustered-offset-depot,20,3,lkh-wrapper-v2,1,1,1,47.401893,0.000618,36.814266,5.000442,10.587627,28.759577,0
clustered-offset-depot,20,3,lkh-wrapper-v3,1,1,1,47.401893,0.000435,36.814266,5.000442,10.587627,28.759577,0
clustered-offset-depot,20,3,rand+nn,1,1,1,88.895757,2.2e-05,36.814266,5.000442,52.081491,141.470948,0
clustered-offset-depot,20,5,2opt+greed,1,1,1,135.049296,2.5e-05,47.901417,5.000288,87.147879,181.931735,0
clustered-offset-depot,20,5,lkh-wrapper-v2,1,1,1,67.804122,0.000689,47.901417,5.000288,19.902705,41.549303,0
clustered-offset-depot,20,5,lkh-wrapper-v3,1,1,1,67.804122,0.000642,47.901417,5.000288,19.902705,41.549303,0
clustered-offset-depot,20,5,rand+nn,1,1,1,143.944879,2.2e-05,47.901417,5.000288,96.043462,200.50234,0
clustered-offset-depot,50,2,2opt+greed,1,1,1,91.392755,8.9e-05,65.386054,5.000833,26.006701,39.774079,0
clustered-offset-depot,50,2,lkh-wrapper-v2,1,1,1,70.473353,0.002603,65.386054,5.000833,5.087299,7.780404,0
clustered-offset-depot,50,2,lkh-wrapper-v3,1,1,1,72.858662,0.001597,65.386054,5.000833,7.472608,11.428443,0
clustered-offset-depot,50,2,rand+nn,1,1,1,112.124464,3.7e-05,65.386054,5.000833,46.73841,71.480701,0
clustered-offset-depot,50,3,2opt+greed,1,1,1,132.879663,5.2e-05,89.469417,5.000832,43.410246,48.519648,0
clustered-offset-depot,50,3,lkh-wrapper-v2,1,1,1,110.192674,0.002236,89.469417,5.000832,20.723257,23.162392,0
clustered-offset-depot,50,3,lkh-wrapper-v3,1,1,1,110.192674,0.001244,89.469417,5.000832,20.723257,23.162392,0
clustered-offset-depot,50,3,rand+nn,1,1,1,203.952582,2.8e-05,89.469417,5.000832,114.483165,127.957875,0
clustered-offset-depot,50,5,2opt+greed,1,1,1,231.5311,5.1e-05,102.201281,5.000835,129.329819,126.544225,0
clustered-offset-depot,50,5,lkh-wrapper-v2,1,1,1,124.315956,0.002011,102.201281,5.000835,22.114675,21.638354,0
clustered-offset-depot,50,5,lkh-wrapper-v3,1,1,1,124.315956,0.001382,102.201281,5.000835,22.114675,21.638354,0
clustered-offset-depot,50,5,rand+nn,1,1,1,308.504442,3.1e-05,102.201281,5.000835,206.303161,201.859663,0
clustered-offset-depot,100,2,2opt+greed,1,1,1,287.327772,0.000202,183.710468,5.000787,103.617304,56.402504,0
clustered-offset-depot,100,2,lkh-wrapper-v2,1,1,1,188.970161,0.004102,183.710468,5.000787,5.259693,2.863034,0
clustered-offset-depot,100,2,lkh-wrapper-v3,1,1,1,185.514298,0.007112,183.710468,5.000787,1.80383,0.981887,0
clustered-offset-depot,100,2,rand+nn,1,1,1,353.506765,4.5e-05,183.710468,5.000787,169.796297,92.426033,0
clustered-offset-depot,100,3,2opt+greed,1,1,1,350.072441,0.000127,194.354246,5.00082,155.718195,80.120809,0
clustered-offset-depot,100,3,lkh-wrapper-v2,1,1,1,193.447099,0.005281,194.354246,5.00082,-0.907147,-0.466749,1
clustered-offset-depot,100,3,lkh-wrapper-v3,1,1,1,190.249456,0.007246,194.354246,5.00082,-4.10479,-2.112015,1
clustered-offset-depot,100,3,rand+nn,1,1,1,449.526081,4.9e-05,194.354246,5.00082,255.171835,131.292133,0
clustered-offset-depot,100,5,2opt+greed,1,1,1,364.604012,0.000111,150.352625,5.000217,214.251387,142.499266,0
clustered-offset-depot,100,5,lkh-wrapper-v2,1,1,1,145.961164,0.005732,150.352625,5.000217,-4.391461,-2.920774,1
clustered-offset-depot,100,5,lkh-wrapper-v3,1,1,1,180.76145,0.039142,150.352625,5.000217,30.408825,20.225004,0
clustered-offset-depot,100,5,rand+nn,1,1,1,452.756628,4.9e-05,150.352625,5.000217,302.404003,201.129846,0
clustered-offset-depot,200,2,2opt+greed,1,1,1,469.473329,0.000769,309.986524,5.000146,159.486805,51.449593,0
clustered-offset-depot,200,2,lkh-wrapper-v2,1,1,1,305.761912,0.022903,309.986524,5.000146,-4.224612,-1.362837,1
clustered-offset-depot,200,2,lkh-wrapper-v3,1,1,1,311.201017,0.053899,309.986524,5.000146,1.214493,0.391789,0
clustered-offset-depot,200,2,rand+nn,1,1,1,585.959619,8.7e-05,309.986524,5.000146,275.973095,89.027449,0
clustered-offset-depot,200,3,2opt+greed,1,1,1,633.826392,0.000463,314.771184,5.000628,319.055208,101.360996,0
clustered-offset-depot,200,3,lkh-wrapper-v2,1,1,1,306.48582,0.022002,314.771184,5.000628,-8.285364,-2.632186,1
clustered-offset-depot,200,3,lkh-wrapper-v3,1,1,1,316.387901,0.050406,314.771184,5.000628,1.616717,0.513617,0
clustered-offset-depot,200,3,rand+nn,1,1,1,766.644397,7.5e-05,314.771184,5.000628,451.873213,143.556093,0
clustered-offset-depot,200,5,2opt+greed,1,1,1,860.988793,0.000332,316.136383,5.001262,544.85241,172.347265,0
clustered-offset-depot,200,5,lkh-wrapper-v2,1,1,1,311.223046,0.017036,316.136383,5.001262,-4.913337,-1.554183,1
clustered-offset-depot,200,5,lkh-wrapper-v3,1,1,1,309.780158,0.026376,316.136383,5.001262,-6.356225,-2.010596,1
clustered-offset-depot,200,5,rand+nn,1,1,1,1071.04916,7.4e-05,316.136383,5.001262,754.912777,238.793387,0
clustered-offset-depot,500,2,2opt+greed,1,1,1,1514.141483,0.003927,1148.033981,5.00156,366.107502,31.889953,0
clustered-offset-depot,500,2,lkh-wrapper-v2,1,1,1,1092.345148,0.098434,1148.033981,5.00156,-55.688833,-4.8508,1
clustered-offset-depot,500,2,lkh-wrapper-v3,1,1,1,1086.145795,0.318206,1148.033981,5.00156,-61.888186,-5.390797,1
clustered-offset-depot,500,2,rand+nn,1,1,1,1987.487869,0.000466,1148.033981,5.00156,839.453888,73.120997,0
clustered-offset-depot,500,3,2opt+greed,1,1,1,2108.520396,0.002758,1312.857419,5.000138,795.662977,60.605437,0
clustered-offset-depot,500,3,lkh-wrapper-v2,1,1,1,1235.847647,0.150523,1312.857419,5.000138,-77.009772,-5.865814,1
clustered-offset-depot,500,3,lkh-wrapper-v3,1,1,1,1575.398434,5.047346,1312.857419,5.000138,262.541015,19.997679,0
clustered-offset-depot,500,3,rand+nn,1,1,1,3102.748183,0.000509,1312.857419,5.000138,1789.890764,136.335503,0
clustered-offset-depot,500,5,2opt+greed,1,1,1,2903.318828,0.001884,1197.855587,5.000598,1705.463241,142.376365,0
clustered-offset-depot,500,5,lkh-wrapper-v2,1,1,1,1153.328124,0.218552,1197.855587,5.000598,-44.527463,-3.717265,1
clustered-offset-depot,500,5,lkh-wrapper-v3,1,1,1,1158.791673,0.793623,1197.855587,5.000598,-39.063914,-3.261154,1
clustered-offset-depot,500,5,rand+nn,1,1,1,4162.728004,0.00038,1197.855587,5.000598,2964.872417,247.515013,0
clustered-offset-depot,1000,3,2opt+greed,1,1,1,5394.445828,0.018265,3349.333293,5.001683,2045.112535,61.060287,0
clustered-offset-depot,1000,3,lkh-wrapper-v2,1,1,1,3043.069658,0.584709,3349.333293,5.001683,-306.263635,-9.144018,1
clustered-offset-depot,1000,3,lkh-wrapper-v3,1,1,1,3056.223966,3.985301,3349.333293,5.001683,-293.109327,-8.751274,1
clustered-offset-depot,1000,3,rand+nn,1,1,1,7218.462161,0.000879,3349.333293,5.001683,3869.128868,115.519374,0
clustered-offset-depot,1000,5,2opt+greed,1,1,1,4621.539536,0.007327,2496.622933,5.005167,2124.916603,85.111635,0
clustered-offset-depot,1000,5,lkh-wrapper-v2,1,1,1,2302.508044,0.777858,2496.622933,5.005167,-194.114889,-7.775098,1
clustered-offset-depot,1000,5,lkh-wrapper-v3,1,1,1,2280.616711,2.614754,2496.622933,5.005167,-216.006222,-8.651936,1
clustered-offset-depot,1000,5,rand+nn,1,1,1,7126.829689,0.000758,2496.622933,5.005167,4630.206756,185.458793,0
clustered-offset-depot,1000,7,2opt+greed,1,1,1,7412.768293,0.010484,2670.83384,5.001761,4741.934453,177.545094,0
clustered-offset-depot,1000,7,lkh-wrapper-v2,1,1,1,2458.212251,0.589192,2670.83384,5.001761,-212.621589,-7.960869,1
clustered-offset-depot,1000,7,lkh-wrapper-v3,1,1,1,2456.384726,2.659203,2670.83384,5.001761,-214.449114,-8.029294,1
clustered-offset-depot,1000,7,rand+nn,1,1,1,10732.858942,0.001428,2670.83384,5.001761,8062.025102,301.854237,0
outliers,20,2,2opt+greed,1,1,1,52.467898,3.5e-05,40.940981,5.000129,11.526917,28.15496,0
outliers,20,2,lkh-wrapper-v2,1,1,1,45.227535,0.000503,40.940981,5.000129,4.286554,10.470081,0
outliers,20,2,lkh-wrapper-v3,1,1,1,45.227535,0.000358,40.940981,5.000129,4.286554,10.470081,0
outliers,20,2,rand+nn,1,1,1,77.168288,2e-05,40.940981,5.000129,36.227307,88.486661,0
