instance_family,instance,path,node_count,salesman_count,baseline_tier,best_baseline_solver,best_baseline_objective,best_baseline_time_seconds,best_baseline_valid,best_baseline_status,best_baseline_is_exact
high-m-stress,high-m-stress_n200_m3_r01.txt,data\mtsp\generated_multifamily\high-m-stress_n200_m3_r01.txt,200,3,medium,tsp-transform-lkh,636.655704,0.164155,True,ok,False
high-m-stress,high-m-stress_n200_m5_r01.txt,data\mtsp\generated_multifamily\high-m-stress_n200_m5_r01.txt,200,5,medium,ortools-gls,614.370196,5.002155,True,ok,False
high-m-stress,high-m-stress_n20_m2_r01.txt,data\mtsp\generated_multifamily\high-m-stress_n20_m2_r01.txt,20,2,small,ortools-gls,38.770922,5.000913,True,ok,False
high-m-stress,high-m-stress_n20_m3_r01.txt,data\mtsp\generated_multifamily\high-m-stress_n20_m3_r01.txt,20,3,small,ortools-gls,40.928378,5.000537,True,ok,False
high-m-stress,high-m-stress_n20_m5_r01.txt,data\mtsp\generated_multifamily\high-m-stress_n20_m5_r01.txt,20,5,small,ortools-gls,42.757026,5.000463,True,ok,False
high-m-stress,high-m-stress_n500_m2_r01.txt,data\mtsp\generated_multifamily\high-m-stress_n500_m2_r01.txt,500,2,medium,tsp-transform-lkh,2041.864749,0.402143,True,ok,False
high-m-stress,high-m-stress_n500_m3_r01.txt,data\mtsp\generated_multifamily\high-m-stress_n500_m3_r01.txt,500,3,medium,tsp-transform-lkh,2260.759745,0.249505,True,ok,False
high-m-stress,high-m-stress_n500_m5_r01.txt,data\mtsp\generated_multifamily\high-m-stress_n500_m5_r01.txt,500,5,medium,tsp-transform-lkh,2298.511024,0.296072,True,ok,False
high-m-stress,high-m-stress_n50_m2_r01.txt,data\mtsp\generated_multifamily\high-m-stress_n50_m2_r01.txt,50,2,medium,ortools-gls,115.712851,4.999885,True,ok,False
high-m-stress,high-m-stress_n50_m3_r01.txt,data\mtsp\generated_multifamily\high-m-stress_n50_m3_r01.txt,50,3,medium,ortools-gls,103.399663,5.000191,True,ok,False
high-m-stress,high-m-stress_n50_m5_r01.txt,data\mtsp\generated_multifamily\high-m-stress_n50_m5_r01.txt,50,5,medium,ortools-gls,127.99682,5.000749,True,ok,False
mixed,mixed_n1000_m3_r01.txt,data\mtsp\generated_multifamily\mixed_n1000_m3_r01.txt,1000,3,medium,tsp-transform-lkh,6410.216406,1.571695,True,ok,False
mixed,mixed_n1000_m5_r01.txt,data\mtsp\generated_multifamily\mixed_n1000_m5_r01.txt,1000,5,medium,tsp-transform-lkh,7083.128917,1.059956,True,ok,False
mixed,mixed_n1000_m7_r01.txt,data\mtsp\generated_multifamily\mixed_n1000_m7_r01.txt,1000,7,medium,tsp-transform-lkh,7083.552788,1.418884,True,ok,False
mixed,mixed_n100_m2_r01.txt,data\mtsp\generated_multifamily\mixed_n100_m2_r01.txt,100,2,medium,ortools-gls,294.80155,5.000455,True,ok,False
mixed,mixed_n100_m3_r01.txt,data\mtsp\generated_multifamily\mixed_n100_m3_r01.txt,100,3,medium,ortools-gls,298.639469,5.000814,True,ok,False
mixed,mixed_n100_m5_r01.txt,data\mtsp\generated_multifamily\mixed_n100_m5_r01.txt,100,5,medium,ortools-gls,295.744801,5.000202,True,ok,False
mixed,mixed_n200_m2_r01.txt,data\mtsp\generated_multifamily\mixed_n200_m2_r01.txt,200,2,medium,tsp-transform-lkh,748.347468,0.160449,True,ok,False
mixed,mixed_n200_m3_r01.txt,data\mtsp\generated_multifamily\mixed_n200_m3_r01.txt,200,3,medium,ortools-gls,680.700528,5.000596,True,ok,False
mixed,mixed_n200_m5_r01.txt,data\mtsp\generated_multifamily\mixed_n200_m5_r01.txt,200,5,medium,ortools-gls,657.216788,5.001897,True,ok,False
mixed,mixed_n20_m2_r01.txt,data\mtsp\generated_multifamily\mixed_n20_m2_r01.txt,20,2,small,ortools-gls,43.98713,5.000823,True,ok,False
mixed,mixed_n20_m3_r01.txt,data\mtsp\generated_multifamily\mixed_n20_m3_r01.txt,20,3,small,ortools-gls,43.353076,5.000106,True,ok,False
mixed,mixed_n20_m5_r01.txt,data\mtsp\generated_multifamily\mixed_n20_m5_r01.txt,20,5,small,ortools-gls,46.894674,4.99994,True,ok,False
mixed,mixed_n500_m2_r01.txt,data\mtsp\generated_multifamily\mixed_n500_m2_r01.txt,500,2,medium,tsp-transform-lkh,2688.46639,0.252892,True,ok,False
mixed,mixed_n500_m3_r01.txt,data\mtsp\generated_multifamily\mixed_n500_m3_r01.txt,500,3,medium,tsp-transform-lkh,2262.520664,0.321882,True,ok,False
mixed,mixed_n500_m5_r01.txt,data\mtsp\generated_multifamily\mixed_n500_m5_r01.txt,500,5,medium,tsp-transform-lkh,2339.268774,0.287486,True,ok,False
mixed,mixed_n50_m2_r01.txt,data\mtsp\generated_multifamily\mixed_n50_m2_r01.txt,50,2,medium,ortools-gls,122.181746,5.001038,True,ok,False
mixed,mixed_n50_m3_r01.txt,data\mtsp\generated_multifamily\mixed_n50_m3_r01.txt,50,3,medium,ortools-gls,121.269654,5.001151,True,ok,False
mixed,mixed_n50_m5_r01.txt,data\mtsp\generated_multifamily\mixed_n50_m5_r01.txt,50,5,medium,ortools-gls,119.507768,5.000917,True,ok,False
outliers,outliers_n1000_m3_r01.txt,data\mtsp\generated_multifamily\outliers_n1000_m3_r01.txt,1000,3,medium,tsp-transform-lkh,6079.836206,1.163558,True,ok,False
outliers,outliers_n1000_m5_r01.txt,data\mtsp\generated_multifamily\outliers_n1000_m5_r01.txt,1000,5,medium,tsp-transform-lkh,7414.94928,1.041065,True,ok,False
outliers,outliers_n1000_m7_r01.txt,data\mtsp\generated_multifamily\outliers_n1000_m7_r01.txt,1000,7,medium,tsp-transform-lkh,6570.992205,1.205448,True,ok,False
outliers,outliers_n100_m2_r01.txt,data\mtsp\generated_multifamily\outliers_n100_m2_r01.txt,100,2,medium,ortools-gls,311.797562,5.000614,True,ok,False
outliers,outliers_n100_m3_r01.txt,data\mtsp\generated_multifamily\outliers_n100_m3_r01.txt,100,3,medium,ortools-gls,337.397732,5.000973,True,ok,False
outliers,outliers_n100_m5_r01.txt,data\mtsp\generated_multifamily\outliers_n100_m5_r01.txt,100,5,medium,ortools-gls,291.572236,5.001307,True,ok,False
outliers,outliers_n200_m2_r01.txt,data\mtsp\generated_multifamily\outliers_n200_m2_r01.txt,200,2,medium,ortools-gls,703.807369,5.000986,True,ok,False
outliers,outliers_n200_m3_r01.txt,data\mtsp\generated_multifamily\outliers_n200_m3_r01.txt,200,3,medium,ortools-gls,703.734285,5.000817,True,ok,False
outliers,outliers_n200_m5_r01.txt,data\mtsp\generated_multifamily\outliers_n200_m5_r01.txt,200,5,medium,ortools-gls,683.154824,5.000387,True,ok,False
outliers,outliers_n20_m2_r01.txt,data\mtsp\generated_multifamily\outliers_n20_m2_r01.txt,20,2,small,ortools-gls,40.940981,5.000129,True,ok,False
outliers,outliers_n20_m3_r01.txt,data\mtsp\generated_multifamily\outliers_n20_m3_r01.txt,20,3,small,ortools-gls,39.730715,5.000884,True,ok,False
outliers,outliers_n20_m5_r01.txt,data\mtsp\generated_multifamily\outliers_n20_m5_r01.txt,20,5,small,ortools-gls,42.426809,5.000094,True,ok,False
outliers,outliers_n500_m2_r01.txt,data\mtsp\generated_multifamily\outliers_n500_m2_r01.txt,500,2,medium,tsp-transform-lkh,2446.492576,0.275138,True,ok,False
outliers,outliers_n500_m3_r01.txt,data\mtsp\generated_multifamily\outliers_n500_m3_r01.txt,500,3,medium,tsp-transform-lkh,2489.124676,0.283556,True,ok,False
outliers,outliers_n500_m5_r01.txt,data\mtsp\generated_multifamily\outliers_n500_m5_r01.txt,500,5,medium,ortools-gls,2650.033172,5.002012,True,ok,False
outliers,outliers_n50_m2_r01.txt,data\mtsp\generated_multifamily\outliers_n50_m2_r01.txt,50,2,medium,ortools-gls,128.758543,5.001006,True,ok,False
outliers,outliers_n50_m3_r01.txt,data\mtsp\generated_multifamily\outliers_n50_m3_r01.txt,50,3,medium,ortools-gls,125.643977,5.000849,True,ok,False
outliers,outliers_n50_m5_r01.txt,data\mtsp\generated_multifamily\outliers_n50_m5_r01.txt,50,5,medium,ortools-gls,118.857456,5.000894,True,ok,False
uniform,uniform_n1000_m3_r01.txt,data\mtsp\generated_multifamily\uniform_n1000_m3_r01.txt,1000,3,medium,tsp-transform-lkh,12596.260075,1.125554,True,ok,False
uniform,uniform_n1000_m5_r01.txt,data\mtsp\generated_multifamily\uniform_n1000_m5_r01.txt,1000,5,medium,tsp-transform-lkh,12349.028878,1.063057,True,ok,False
uniform,uniform_n1000_m7_r01.txt,data\mtsp\generated_multifamily\uniform_n1000_m7_r01.txt,1000,7,medium,tsp-transform-lkh,12424.382636,1.275093,True,ok,False
uniform,uniform_n100_m2_r01.txt,data\mtsp\generated_multifamily\uniform_n100_m2_r01.txt,100,2,medium,ortools-gls,415.025483,5.000119,True,ok,False
uniform,uniform_n100_m3_r01.txt,data\mtsp\generated_multifamily\uniform_n100_m3_r01.txt,100,3,medium,tsp-transform-lkh,412.801739,0.075832,True,ok,False
uniform,uniform_n100_m5_r01.txt,data\mtsp\generated_multifamily\uniform_n100_m5_r01.txt,100,5,medium,ortools-gls,424.430883,5.000842,True,ok,False
uniform,uniform_n200_m2_r01.txt,data\mtsp\generated_multifamily\uniform_n200_m2_r01.txt,200,2,medium,tsp-transform-lkh,1120.704602,0.165137,True,ok,False
uniform,uniform_n200_m3_r01.txt,data\mtsp\generated_multifamily\uniform_n200_m3_r01.txt,200,3,medium,tsp-transform-lkh,1101.87953,0.23231,True,ok,False
uniform,uniform_n200_m5_r01.txt,data\mtsp\generated_multifamily\uniform_n200_m5_r01.txt,200,5,medium,ortools-gls,1129.269177,5.00154,True,ok,False
uniform,uniform_n20_m2_r01.txt,data\mtsp\generated_multifamily\uniform_n20_m2_r01.txt,20,2,small,ortools-gls,41.100265,5.000185,True,ok,False
uniform,uniform_n20_m3_r01.txt,data\mtsp\generated_multifamily\uniform_n20_m3_r01.txt,20,3,small,ortools-gls,44.86439,5.00047,True,ok,False
uniform,uniform_n20_m5_r01.txt,data\mtsp\generated_multifamily\uniform_n20_m5_r01.txt,20,5,small,ortools-gls,36.828012,5.000568,True,ok,False
uniform,uniform_n500_m2_r01.txt,data\mtsp\generated_multifamily\uniform_n500_m2_r01.txt,500,2,medium,tsp-transform-lkh,4443.631037,0.253451,True,ok,False
uniform,uniform_n500_m3_r01.txt,data\mtsp\generated_multifamily\uniform_n500_m3_r01.txt,500,3,medium,tsp-transform-lkh,4401.692443,0.276707,True,ok,False
uniform,uniform_n500_m5_r01.txt,data\mtsp\generated_multifamily\uniform_n500_m5_r01.txt,500,5,medium,tsp-transform-lkh,4432.640973,0.283029,True,ok,False
uniform,uniform_n50_m2_r01.txt,data\mtsp\generated_multifamily\uniform_n50_m2_r01.txt,50,2,medium,tsp-transform-lkh,150.011739,0.042165,True,ok,False
uniform,uniform_n50_m3_r01.txt,data\mtsp\generated_multifamily\uniform_n50_m3_r01.txt,50,3,medium,ortools-gls,144.432357,5.000656,True,ok,False
uniform,uniform_n50_m5_r01.txt,data\mtsp\generated_multifamily\uniform_n50_m5_r01.txt,50,5,medium,ortools-gls,154.076264,5.000759,True,ok,False
