instance_family,instance,path,node_count,salesman_count,solver,objective,time_seconds,valid,best_baseline_solver,best_baseline_objective,best_baseline_time_seconds,best_baseline_valid,best_baseline_status,objective_gap,relative_gap_percent
clustered-center,clustered-center_n20_m5_r01.txt,data\mtsp\generated_multifamily\clustered-center_n20_m5_r01.txt,20,5,2opt+greed,99.92158913139804,2.5e-05,True,ortools-gls,38.744569,5.000544,True,ok,61.17702,157.898311
clustered-center,clustered-center_n20_m5_r01.txt,data\mtsp\generated_multifamily\clustered-center_n20_m5_r01.txt,20,5,lkh-wrapper-v2,44.65971923169637,0.000615,True,ortools-gls,38.744569,5.000544,True,ok,5.91515,15.267043
clustered-center,clustered-center_n20_m5_r01.txt,data\mtsp\generated_multifamily\clustered-center_n20_m5_r01.txt,20,5,lkh-wrapper-v3,44.659719231696386,0.000457,True,ortools-gls,38.744569,5.000544,True,ok,5.91515,15.267043
clustered-center,clustered-center_n500_m2_r01.txt,data\mtsp\generated_multifamily\clustered-center_n500_m2_r01.txt,500,2,rand+nn,1881.1123904648903,0.000324,True,ortools-gls,1041.766363,5.001087,True,ok,839.346027,80.569507
clustered-center,clustered-center_n500_m2_r01.txt,data\mtsp\generated_multifamily\clustered-center_n500_m2_r01.txt,500,2,2opt+greed,1351.9814505440017,0.00417,True,ortools-gls,1041.766363,5.001087,True,ok,310.215088,29.777798
clustered-center,clustered-center_n500_m2_r01.txt,data\mtsp\generated_multifamily\clustered-center_n500_m2_r01.txt,500,2,lkh-wrapper-v2,1033.3123339824847,0.248687,True,ortools-gls,1041.766363,5.001087,True,ok,-8.454029,-0.811509
clustered-center,clustered-center_n500_m2_r01.txt,data\mtsp\generated_multifamily\clustered-center_n500_m2_r01.txt,500,2,lkh-wrapper-v3,1033.7568848984042,0.118118,True,ortools-gls,1041.766363,5.001087,True,ok,-8.009478,-0.768836
clustered-center,clustered-center_n500_m3_r01.txt,data\mtsp\generated_multifamily\clustered-center_n500_m3_r01.txt,500,3,rand+nn,2355.1895631392076,0.000257,True,ortools-gls,1080.086405,5.000934,True,ok,1275.103158,118.055662
clustered-center,clustered-center_n500_m3_r01.txt,data\mtsp\generated_multifamily\clustered-center_n500_m3_r01.txt,500,3,2opt+greed,1603.1103475117634,0.00211,True,ortools-gls,1080.086405,5.000934,True,ok,523.023943,48.424269
clustered-center,clustered-center_n500_m3_r01.txt,data\mtsp\generated_multifamily\clustered-center_n500_m3_r01.txt,500,3,lkh-wrapper-v2,1040.91600047055,0.338444,True,ortools-gls,1080.086405,5.000934,True,ok,-39.170405,-3.626599
clustered-center,clustered-center_n500_m3_r01.txt,data\mtsp\generated_multifamily\clustered-center_n500_m3_r01.txt,500,3,lkh-wrapper-v3,1057.4791934798852,0.066585,True,ortools-gls,1080.086405,5.000934,True,ok,-22.607212,-2.093093
clustered-center,clustered-center_n500_m5_r01.txt,data\mtsp\generated_multifamily\clustered-center_n500_m5_r01.txt,500,5,rand+nn,3608.9297374203306,0.000322,True,ortools-gls,1205.83123,5.000525,True,ok,2403.098507,199.289788
clustered-center,clustered-center_n500_m5_r01.txt,data\mtsp\generated_multifamily\clustered-center_n500_m5_r01.txt,500,5,2opt+greed,2095.26534705431,0.00199,True,ortools-gls,1205.83123,5.000525,True,ok,889.434117,73.761078
clustered-center,clustered-center_n500_m5_r01.txt,data\mtsp\generated_multifamily\clustered-center_n500_m5_r01.txt,500,5,lkh-wrapper-v2,1273.1033437921162,0.381747,True,ortools-gls,1205.83123,5.000525,True,ok,67.272114,5.5789
