instance_family,node_count,salesman_count,solver,runs,avg_objective,avg_time_seconds,reference_solver,avg_reference_objective,avg_reference_time_seconds,avg_objective_gap,avg_relative_gap_percent,valid_runs,reference_valid_runs,better_than_reference_runs
uniform,200,3,grasp,10,1320.129309,3.466487,ortools-gls,1143.027631,5.000962,177.101678,15.517596,10,10,0
uniform,200,3,lkh-wrapper,10,1305.862695,0.086707,ortools-gls,1143.027631,5.000962,162.835064,14.305717,10,10,0
uniform,200,3,lkh-wrapper-v1,10,1305.862695,0.086442,ortools-gls,1143.027631,5.000962,162.835064,14.305717,10,10,0
uniform,200,3,lkh-wrapper-v2,10,1220.966759,0.053813,ortools-gls,1143.027631,5.000962,77.939128,6.867458,10,10,0
uniform,200,3,lkh-wrapper-v3,10,1212.540047,0.0263,ortools-gls,1143.027631,5.000962,69.512416,6.133333,10,10,0
uniform,200,3,rand+nn,10,2388.685383,0.001248,ortools-gls,1143.027631,5.000962,1245.657752,109.074536,10,10,0
uniform,200,5,2opt+greed,10,1791.491095,0.001395,ortools-gls,1153.235162,5.000902,638.255934,55.35549,10,10,0
uniform,200,5,grasp,10,1415.91498,5.053463,ortools-gls,1153.235162,5.000902,262.679818,22.832757,10,10,0
uniform,200,5,lkh-wrapper,10,1544.082737,0.11827,ortools-gls,1153.235162,5.000902,390.847575,33.89503,10,10,0
uniform,200,5,lkh-wrapper-v1,10,1544.082737,0.117469,ortools-gls,1153.235162,5.000902,390.847575,33.89503,10,10,0
uniform,200,5,lkh-wrapper-v2,10,1321.24527,0.070662,ortools-gls,1153.235162,5.000902,168.010109,14.590909,10,10,0
uniform,200,5,lkh-wrapper-v3,10,1329.253611,0.022809,ortools-gls,1153.235162,5.000902,176.01845,15.284656,10,10,0
uniform,200,5,rand+nn,10,3118.315769,0.00108,ortools-gls,1153.235162,5.000902,1965.080607,170.506985,10,10,0
