"phase","instance_family","instance","path","node_count","salesman_count","solver","solver_budget_ms","wall_timeout_sec","start_time_utc","end_time_utc","wall_seconds","valid","status","objective","time_seconds","step_time_seconds","message","killed","exit_code","artifacts_dir"
"main","high-m-stress","high-m-stress_n25000_m7_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\high-m-stress_n25000_m7_r01.txt","25000","7","lkh-wrapper-v4","150000","300","2026-04-24T10:19:54.9339380Z","2026-04-24T10:36:32.8513400Z","997.91715","False","runner_error",,"997.91715",,"mtsp.exe exited with code .","False",,""
"main","high-m-stress","high-m-stress_n25000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\high-m-stress_n25000_m5_r01.txt","25000","5","lkh-wrapper-v4","150000","300","2026-04-24T10:36:33.2153849Z","2026-04-24T10:40:09.1397439Z","215.924587","False","runner_error",,"215.924587",,"mtsp.exe exited with code .","False",,""
"main","high-m-stress","high-m-stress_n25000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\high-m-stress_n25000_m5_r01.txt","25000","5","lkh-wrapper-v7","150000","300","2026-04-24T10:40:09.4870824Z","2026-04-24T10:41:26.2284212Z","76.74113","False","runner_error",,"76.74113",,"mtsp.exe exited with code .","False",,""
"main","high-m-stress","high-m-stress_n25000_m7_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\high-m-stress_n25000_m7_r01.txt","25000","7","lkh-wrapper-v7","150000","300","2026-04-24T10:41:26.6394448Z","2026-04-24T10:42:23.0527184Z","56.413643","False","runner_error",,"56.413643",,"mtsp.exe exited with code .","False",,""
"main","mixed","mixed_n25000_m7_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\mixed_n25000_m7_r01.txt","25000","7","lkh3-baseline","150000","300","2026-04-24T01:12:24.8204123Z","2026-04-24T01:17:25.5699632Z","300.74914","False","wall_timeout","","300.74914","","Killed after exceeding the external wall-clock timeout.","True","",""
"main","mixed","mixed_n25000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\mixed_n25000_m5_r01.txt","25000","5","lkh3-baseline","150000","300","2026-04-24T00:20:20.5753251Z","2026-04-24T00:25:21.5566392Z","300.980944","False","wall_timeout","","300.980944","","Killed after exceeding the external wall-clock timeout.","True","",""
"main","mixed","mixed_n25000_m7_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\mixed_n25000_m7_r01.txt","25000","7","lkh-wrapper-v4","150000","300","2026-04-24T10:42:23.4756691Z","2026-04-24T10:45:24.2051040Z","180.729091","False","runner_error",,"180.729091",,"mtsp.exe exited with code .","False",,""
"main","mixed","mixed_n25000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\mixed_n25000_m5_r01.txt","25000","5","lkh-wrapper-v4","150000","300","2026-04-24T10:45:24.8231533Z","2026-04-24T10:49:00.1710228Z","215.347734","False","runner_error",,"215.347734",,"mtsp.exe exited with code .","False",,""
"main","mixed","mixed_n25000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\mixed_n25000_m5_r01.txt","25000","5","lkh-wrapper-v7","150000","300","2026-04-24T10:49:00.6483464Z","2026-04-24T10:50:57.2446397Z","116.59453","False","runner_error",,"116.59453",,"mtsp.exe exited with code .","False",,""
"main","mixed","mixed_n25000_m7_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\mixed_n25000_m7_r01.txt","25000","7","lkh-wrapper-v7","150000","300","2026-04-24T10:50:57.8233200Z","2026-04-24T10:52:30.9153832Z","93.092824","False","runner_error",,"93.092824",,"mtsp.exe exited with code .","False",,""
