instance,family,node_count,salesman_count,solver,seed,objective,time_seconds,valid
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,grasp,15,571.6129583899911,0.502136,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,grasp,16,564.3586431861718,0.49896,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,grasp,17,572.2240057479781,0.50907,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,grasp,18,579.4001155267829,0.499277,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,grasp,19,575.9460581984956,0.509265,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,grasp,20,575.4960589936654,0.513559,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,lkh-wrapper-v2,1,499.62696987171853,0.018836,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,lkh-wrapper-v2,2,507.0337882878173,0.00954,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,lkh-wrapper-v2,3,501.7006947806958,0.012453,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,lkh-wrapper-v2,4,505.7928107268505,0.011538,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,lkh-wrapper-v2,5,506.2076509816979,0.0116,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,lkh-wrapper-v2,6,505.0610184198098,0.007106,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,lkh-wrapper-v2,7,509.37112347254646,0.009317,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,lkh-wrapper-v2,8,508.2333065432943,0.008971,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,lkh-wrapper-v2,9,508.2333065432943,0.007542,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,lkh-wrapper-v2,10,501.66929268773623,0.012438,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,lkh-wrapper-v2,11,508.639497087052,0.009642,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,lkh-wrapper-v2,12,501.9962741741792,0.008996,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,lkh-wrapper-v2,13,507.10188031510387,0.007285,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,lkh-wrapper-v2,14,501.66929268773623,0.009512,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,lkh-wrapper-v2,15,499.0936377351495,0.01615,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,lkh-wrapper-v2,16,507.5836566589118,0.009821,True
