instance_family,instance,path,node_count,salesman_count,solver,objective,time_seconds,valid,reference_solver,reference_objective,reference_time_seconds,reference_valid,objective_gap,relative_gap_percent
uniform,n100_m5_r02.txt,data\mtsp\generated\n100_m5_r02.txt,100,5,lkh-wrapper-v2,1070.4939595913265,0.010059,True,ortools-gls,839.697049,5.001059,True,230.796911,27.485736
uniform,n100_m5_r02.txt,data\mtsp\generated\n100_m5_r02.txt,100,5,lkh-wrapper-v3,1072.2092646905546,0.006614,True,ortools-gls,839.697049,5.001059,True,232.512216,27.690012
uniform,n100_m5_r03.txt,data\mtsp\generated\n100_m5_r03.txt,100,5,lkh-wrapper-v1,1097.8141314926029,0.016324,True,ortools-gls,816.160933,5.004235,True,281.653198,34.509517
uniform,n100_m5_r03.txt,data\mtsp\generated\n100_m5_r03.txt,100,5,lkh-wrapper-v2,943.25048788474,0.00759,True,ortools-gls,816.160933,5.004235,True,127.089555,15.571629
uniform,n100_m5_r03.txt,data\mtsp\generated\n100_m5_r03.txt,100,5,lkh-wrapper-v3,1003.0061924704399,0.00621,True,ortools-gls,816.160933,5.004235,True,186.845259,22.893188
uniform,n100_m5_r04.txt,data\mtsp\generated\n100_m5_r04.txt,100,5,lkh-wrapper-v1,1253.1721752978697,0.019427,True,ortools-gls,806.112506,5.000687,True,447.059669,55.458719
uniform,n100_m5_r04.txt,data\mtsp\generated\n100_m5_r04.txt,100,5,lkh-wrapper-v2,970.2976443271149,0.0104,True,ortools-gls,806.112506,5.000687,True,164.185138,20.367522
uniform,n100_m5_r04.txt,data\mtsp\generated\n100_m5_r04.txt,100,5,lkh-wrapper-v3,962.2890847492638,0.005926,True,ortools-gls,806.112506,5.000687,True,156.176579,19.374042
uniform,n100_m5_r05.txt,data\mtsp\generated\n100_m5_r05.txt,100,5,lkh-wrapper-v1,1273.6509946301815,0.038011,True,ortools-gls,791.160334,4.999905,True,482.490661,60.985194
uniform,n100_m5_r05.txt,data\mtsp\generated\n100_m5_r05.txt,100,5,lkh-wrapper-v2,914.0764555303356,0.011477,True,ortools-gls,791.160334,4.999905,True,122.916122,15.536184
uniform,n100_m5_r05.txt,data\mtsp\generated\n100_m5_r05.txt,100,5,lkh-wrapper-v3,916.8095714662031,0.009791,True,ortools-gls,791.160334,4.999905,True,125.649237,15.88164
uniform,n100_m5_r06.txt,data\mtsp\generated\n100_m5_r06.txt,100,5,lkh-wrapper-v1,1196.4887127636825,0.008031,True,ortools-gls,811.76969,5.000651,True,384.719023,47.392632
uniform,n100_m5_r06.txt,data\mtsp\generated\n100_m5_r06.txt,100,5,lkh-wrapper-v2,1002.1108899223323,0.009708,True,ortools-gls,811.76969,5.000651,True,190.3412,23.447685
uniform,n100_m5_r06.txt,data\mtsp\generated\n100_m5_r06.txt,100,5,lkh-wrapper-v3,1002.1108899223323,0.004293,True,ortools-gls,811.76969,5.000651,True,190.3412,23.447685
uniform,n100_m5_r07.txt,data\mtsp\generated\n100_m5_r07.txt,100,5,lkh-wrapper-v1,1245.904006468376,0.018108,True,ortools-gls,802.861462,4.999875,True,443.042544,55.182938
uniform,n100_m5_r07.txt,data\mtsp\generated\n100_m5_r07.txt,100,5,lkh-wrapper-v2,977.284106068674,0.024778,True,ortools-gls,802.861462,4.999875,True,174.422644,21.725123
uniform,n100_m5_r07.txt,data\mtsp\generated\n100_m5_r07.txt,100,5,lkh-wrapper-v3,928.0097206969803,0.006785,True,ortools-gls,802.861462,4.999875,True,125.148259,15.587778
uniform,n100_m5_r08.txt,data\mtsp\generated\n100_m5_r08.txt,100,5,lkh-wrapper-v1,1120.8384432426813,0.012943,True,ortools-gls,757.097381,5.00114,True,363.741062,48.044158
uniform,n100_m5_r08.txt,data\mtsp\generated\n100_m5_r08.txt,100,5,lkh-wrapper-v2,992.7237548683918,0.009324,True,ortools-gls,757.097381,5.00114,True,235.626374,31.122334
uniform,n100_m5_r08.txt,data\mtsp\generated\n100_m5_r08.txt,100,5,lkh-wrapper-v3,960.117206956291,0.007593,True,ortools-gls,757.097381,5.00114,True,203.019826,26.81555
uniform,n100_m5_r09.txt,data\mtsp\generated\n100_m5_r09.txt,100,5,lkh-wrapper-v1,1313.968196459189,0.023582,True,ortools-gls,834.085259,5.000396,True,479.882937,57.534039
uniform,n100_m5_r09.txt,data\mtsp\generated\n100_m5_r09.txt,100,5,lkh-wrapper-v2,1001.7659215232939,0.007447,True,ortools-gls,834.085259,5.000396,True,167.680663,20.10354
uniform,n100_m5_r09.txt,data\mtsp\generated\n100_m5_r09.txt,100,5,lkh-wrapper-v3,973.1498136702355,0.005039,True,ortools-gls,834.085259,5.000396,True,139.064555,16.672703
uniform,n100_m5_r10.txt,data\mtsp\generated\n100_m5_r10.txt,100,5,lkh-wrapper-v1,1111.412703977488,0.014803,True,ortools-gls,800.290013,5.0011,True,311.122691,38.876243
uniform,n100_m5_r10.txt,data\mtsp\generated\n100_m5_r10.txt,100,5,lkh-wrapper-v2,976.7407480157473,0.014952,True,ortools-gls,800.290013,5.0011,True,176.450735,22.048349
uniform,n100_m5_r10.txt,data\mtsp\generated\n100_m5_r10.txt,100,5,lkh-wrapper-v3,976.7407480157473,0.00637,True,ortools-gls,800.290013,5.0011,True,176.450735,22.048349
uniform,n200_m2_r01.txt,data\mtsp\generated\n200_m2_r01.txt,200,2,lkh-wrapper-v1,1231.0616075411617,0.119705,True,ortools-gls,1089.527381,5.000052,True,141.534227,12.990424
uniform,n200_m2_r01.txt,data\mtsp\generated\n200_m2_r01.txt,200,2,lkh-wrapper-v2,1186.91694094279,0.094117,True,ortools-gls,1089.527381,5.000052,True,97.38956,8.938698
uniform,n200_m2_r01.txt,data\mtsp\generated\n200_m2_r01.txt,200,2,lkh-wrapper-v3,1198.070402419719,0.050049,True,ortools-gls,1089.527381,5.000052,True,108.543021,9.962395
uniform,n200_m2_r02.txt,data\mtsp\generated\n200_m2_r02.txt,200,2,lkh-wrapper-v1,1237.757432201647,0.097274,True,ortools-gls,1134.75161,5.001933,True,103.005822,9.077389
uniform,n200_m2_r02.txt,data\mtsp\generated\n200_m2_r02.txt,200,2,lkh-wrapper-v2,1160.7760957455387,0.036423,True,ortools-gls,1134.75161,5.001933,True,26.024486,2.293408
uniform,n200_m2_r02.txt,data\mtsp\generated\n200_m2_r02.txt,200,2,lkh-wrapper-v3,1212.3276251348948,0.080787,True,ortools-gls,1134.75161,5.001933,True,77.576015,6.836387
uniform,n200_m2_r03.txt,data\mtsp\generated\n200_m2_r03.txt,200,2,lkh-wrapper-v1,1206.1171616064453,0.089913,True,ortools-gls,1109.650678,5.000327,True,96.466484,8.69341
uniform,n200_m2_r03.txt,data\mtsp\generated\n200_m2_r03.txt,200,2,lkh-wrapper-v2,1183.782323672765,0.019575,True,ortools-gls,1109.650678,5.000327,True,74.131646,6.680629
uniform,n200_m2_r03.txt,data\mtsp\generated\n200_m2_r03.txt,200,2,lkh-wrapper-v3,1201.5390030013568,0.015074,True,ortools-gls,1109.650678,5.000327,True,91.888325,8.280833
uniform,n200_m2_r04.txt,data\mtsp\generated\n200_m2_r04.txt,200,2,lkh-wrapper-v1,1113.582617011457,0.055228,True,ortools-gls,1129.640246,4.999999,True,-16.057629,-1.421482
uniform,n200_m2_r04.txt,data\mtsp\generated\n200_m2_r04.txt,200,2,lkh-wrapper-v2,1146.5373436708187,0.05891,True,ortools-gls,1129.640246,4.999999,True,16.897098,1.495795
uniform,n200_m2_r04.txt,data\mtsp\generated\n200_m2_r04.txt,200,2,lkh-wrapper-v3,1154.2314262600878,0.027382,True,ortools-gls,1129.640246,4.999999,True,24.59118,2.176904
uniform,n200_m2_r05.txt,data\mtsp\generated\n200_m2_r05.txt,200,2,lkh-wrapper-v1,1256.3392978031325,0.075085,True,ortools-gls,1177.771774,5.001378,True,78.567524,6.670862
uniform,n200_m2_r05.txt,data\mtsp\generated\n200_m2_r05.txt,200,2,lkh-wrapper-v2,1225.1065646252569,0.050258,True,ortools-gls,1177.771774,5.001378,True,47.334791,4.019012
uniform,n200_m2_r05.txt,data\mtsp\generated\n200_m2_r05.txt,200,2,lkh-wrapper-v3,1234.461875868355,0.033596,True,ortools-gls,1177.771774,5.001378,True,56.690102,4.813335
uniform,n200_m2_r06.txt,data\mtsp\generated\n200_m2_r06.txt,200,2,lkh-wrapper-v1,1174.2498805146502,0.090806,True,ortools-gls,1138.35878,5.001313,True,35.891101,3.152881
uniform,n200_m2_r06.txt,data\mtsp\generated\n200_m2_r06.txt,200,2,lkh-wrapper-v2,1124.674868243107,0.077752,True,ortools-gls,1138.35878,5.001313,True,-13.683912,-1.202074
uniform,n200_m2_r06.txt,data\mtsp\generated\n200_m2_r06.txt,200,2,lkh-wrapper-v3,1141.3243356219095,0.043707,True,ortools-gls,1138.35878,5.001313,True,2.965556,0.260512
uniform,n200_m2_r07.txt,data\mtsp\generated\n200_m2_r07.txt,200,2,lkh-wrapper-v1,1276.1167642366759,0.087363,True,ortools-gls,1174.154763,5.002344,True,101.962001,8.683864
uniform,n200_m2_r07.txt,data\mtsp\generated\n200_m2_r07.txt,200,2,lkh-wrapper-v2,1218.1051390554194,0.081445,True,ortools-gls,1174.154763,5.002344,True,43.950376,3.74315
uniform,n200_m2_r07.txt,data\mtsp\generated\n200_m2_r07.txt,200,2,lkh-wrapper-v3,1200.009439240617,0.055088,True,ortools-gls,1174.154763,5.002344,True,25.854676,2.201982
uniform,n200_m2_r08.txt,data\mtsp\generated\n200_m2_r08.txt,200,2,lkh-wrapper-v1,1198.9493304738749,0.099811,True,ortools-gls,1128.625585,5.001665,True,70.323745,6.230919
uniform,n200_m2_r08.txt,data\mtsp\generated\n200_m2_r08.txt,200,2,lkh-wrapper-v2,1196.1654170031736,0.053866,True,ortools-gls,1128.625585,5.001665,True,67.539832,5.984255
uniform,n200_m2_r08.txt,data\mtsp\generated\n200_m2_r08.txt,200,2,lkh-wrapper-v3,1123.005759198163,0.068899,True,ortools-gls,1128.625585,5.001665,True,-5.619826,-0.497935
uniform,n200_m2_r09.txt,data\mtsp\generated\n200_m2_r09.txt,200,2,lkh-wrapper-v1,1268.654079905485,0.143394,True,ortools-gls,1164.675834,5.00025,True,103.978246,8.927655
uniform,n200_m2_r09.txt,data\mtsp\generated\n200_m2_r09.txt,200,2,lkh-wrapper-v2,1205.0583169817428,0.064756,True,ortools-gls,1164.675834,5.00025,True,40.382483,3.467272
uniform,n200_m2_r09.txt,data\mtsp\generated\n200_m2_r09.txt,200,2,lkh-wrapper-v3,1244.1740263173242,0.015584,True,ortools-gls,1164.675834,5.00025,True,79.498192,6.825778
uniform,n200_m2_r10.txt,data\mtsp\generated\n200_m2_r10.txt,200,2,lkh-wrapper-v1,1164.5521927676887,0.066379,True,ortools-gls,1113.781786,5.000294,True,50.770407,4.55838
uniform,n200_m2_r10.txt,data\mtsp\generated\n200_m2_r10.txt,200,2,lkh-wrapper-v2,1198.529521045315,0.060112,True,ortools-gls,1113.781786,5.000294,True,84.747735,7.609007
uniform,n200_m2_r10.txt,data\mtsp\generated\n200_m2_r10.txt,200,2,lkh-wrapper-v3,1249.3559597147055,0.049999,True,ortools-gls,1113.781786,5.000294,True,135.574174,12.172418
uniform,n200_m3_r01.txt,data\mtsp\generated\n200_m3_r01.txt,200,3,lkh-wrapper-v1,1348.5461409685345,0.084892,True,ortools-gls,1104.153108,5.000478,True,244.393033,22.13398
uniform,n200_m3_r01.txt,data\mtsp\generated\n200_m3_r01.txt,200,3,lkh-wrapper-v2,1158.4059169349564,0.079438,True,ortools-gls,1104.153108,5.000478,True,54.252809,4.913522
uniform,n200_m3_r01.txt,data\mtsp\generated\n200_m3_r01.txt,200,3,lkh-wrapper-v3,1185.2949211827429,0.013693,True,ortools-gls,1104.153108,5.000478,True,81.141813,7.348783
uniform,n200_m3_r02.txt,data\mtsp\generated\n200_m3_r02.txt,200,3,lkh-wrapper-v1,1389.5556060747576,0.117807,True,ortools-gls,1166.345448,5.000103,True,223.210158,19.137568
uniform,n200_m3_r02.txt,data\mtsp\generated\n200_m3_r02.txt,200,3,lkh-wrapper-v2,1203.4982059179392,0.047086,True,ortools-gls,1166.345448,5.000103,True,37.152758,3.185399
uniform,n200_m3_r02.txt,data\mtsp\generated\n200_m3_r02.txt,200,3,lkh-wrapper-v3,1178.5925411440157,0.015431,True,ortools-gls,1166.345448,5.000103,True,12.247093,1.05004
uniform,n200_m3_r03.txt,data\mtsp\generated\n200_m3_r03.txt,200,3,lkh-wrapper-v1,1313.970858328237,0.119096,True,ortools-gls,1117.749852,5.000038,True,196.221006,17.555002
uniform,n200_m3_r03.txt,data\mtsp\generated\n200_m3_r03.txt,200,3,lkh-wrapper-v2,1192.039948420943,0.054477,True,ortools-gls,1117.749852,5.000038,True,74.290096,6.646397
uniform,n200_m3_r03.txt,data\mtsp\generated\n200_m3_r03.txt,200,3,lkh-wrapper-v3,1200.098417901816,0.022482,True,ortools-gls,1117.749852,5.000038,True,82.348566,7.367352
uniform,n200_m3_r04.txt,data\mtsp\generated\n200_m3_r04.txt,200,3,lkh-wrapper-v1,1281.662252539341,0.066468,True,ortools-gls,1100.437815,5.001371,True,181.224438,16.468394
uniform,n200_m3_r04.txt,data\mtsp\generated\n200_m3_r04.txt,200,3,lkh-wrapper-v2,1264.5101662648499,0.06553,True,ortools-gls,1100.437815,5.001371,True,164.072351,14.909734
