instance,n,m,variant,seed,valid,objective,sum,makespan,min_route,gini,balance_ratio,wall_seconds,solver_time_seconds,timed_out,error
uniform_n50000_m5_r01.txt,50000,5,default,101,True,4563456.103125883,4563456.103125883,955256.5733821784,877805.8235988255,0.01626472031416849,1.04663718878313,155.65444016456604,155.44999,,
uniform_n50000_m5_r01.txt,50000,5,default,102,True,4557245.21416473,4557245.21416473,952218.8252907395,877903.2762787493,0.015134054255191763,1.0447307315514576,154.53611612319946,154.351595,,
uniform_n50000_m5_r01.txt,50000,5,default,103,True,4560763.3869259255,4560763.3869259255,944630.3332807692,884223.8719290063,0.013521882340882849,1.0356055041012278,149.97178506851196,149.805716,,
uniform_n50000_m5_r01.txt,50000,5,no_region_reopt,101,True,4557514.147729531,4557514.147729531,952221.6877307658,875175.4268990628,0.016550127488722047,1.0446722235685708,139.99270963668823,139.84576,,
uniform_n50000_m5_r01.txt,50000,5,no_region_reopt,102,True,4552297.675768288,4552297.675768288,952192.2097440108,877276.2636842075,0.01675279071742636,1.0458369350630285,139.1510980129242,139.007374,,
uniform_n50000_m5_r01.txt,50000,5,no_region_reopt,103,True,4548324.029716401,4548324.029716401,936509.6387081284,882491.6981798607,0.012299084254331764,1.0295106863423296,143.12071704864502,142.983867,,
uniform_n50000_m5_r01.txt,50000,5,no_region_granular,101,True,4559770.374326784,4559770.374326784,949444.9272638747,879392.6005785068,0.016179127624084435,1.0411104609670756,154.07133865356445,153.928324,,
uniform_n50000_m5_r01.txt,50000,5,no_region_granular,102,True,4560871.155681734,4560871.155681734,947839.8147974693,871723.6293910046,0.01669547046920511,1.0390995299403403,146.1408052444458,145.990936,,
uniform_n50000_m5_r01.txt,50000,5,no_region_granular,103,True,4563359.706361622,4563359.706361622,946923.5835349833,879411.3722649798,0.015145453998227735,1.0375289747758762,145.2601444721222,145.091983,,
uniform_n50000_m5_r01.txt,50000,5,no_classic_seeds,101,True,5021834.608955944,5021834.608955944,1031623.2075250391,962081.0287349954,0.012412060014078005,1.0271377771833041,126.86627888679504,126.733482,,
uniform_n50000_m5_r01.txt,50000,5,no_classic_seeds,102,True,4917136.377743919,4917136.377743918,995488.2606979418,967663.6585084371,0.0055406909807907715,1.0122642369690504,135.8882327079773,135.755397,,
uniform_n50000_m5_r01.txt,50000,5,no_classic_seeds,103,True,4924212.103759522,4924212.103759522,986553.0456586238,981918.7314951833,0.0008192554616931113,1.0017369529080737,128.93140769004822,128.74345,,
uniform_n50000_m5_r01.txt,50000,5,no_rebalance,101,True,4560107.912697992,4560107.912697992,943082.1160336399,875808.5661235185,0.014971198824722682,1.0340567965590801,140.23462104797363,140.123392,,
uniform_n50000_m5_r01.txt,50000,5,no_rebalance,102,True,4562676.637209671,4562676.637209671,950981.1028425317,876010.8926536617,0.016910949534939032,1.0421307255121517,155.10095810890198,154.951929,,
uniform_n50000_m5_r01.txt,50000,5,no_rebalance,103,True,4555683.791782692,4555683.791782692,939422.5445149173,880505.3537827571,0.013737301165758555,1.0310445011673104,156.0678005218506,155.904918,,
uniform_n100000_m5_r01.txt,100000,5,default,101,True,12986582.588221923,12986582.588221923,2638126.5262326207,2553709.742365309,0.007215436997953697,1.0157123740256535,344.4440279006958,344.117313,,
uniform_n100000_m5_r01.txt,100000,5,default,102,True,12965111.533555955,12965111.533555955,2648499.4512739712,2508061.355733942,0.010729525376764307,1.0213947810704118,344.40713119506836,344.033209,,
uniform_n100000_m5_r01.txt,100000,5,default,103,True,12982624.371382061,12982624.37138206,2671696.2417913014,2503297.966885687,0.013393184083498247,1.0289507596324639,343.9933683872223,343.67288,,
uniform_n100000_m5_r01.txt,100000,5,no_region_reopt,101,True,12978451.605493104,12978451.605493104,2637061.0976062785,2557471.704606741,0.006697055057008016,1.0159382558741241,343.98184609413147,343.668824,,
uniform_n100000_m5_r01.txt,100000,5,no_region_reopt,102,True,12926357.59635739,12926357.59635739,2634876.3380710785,2515072.1750839567,0.00945071785640719,1.019187469644805,344.74585366249084,344.530979,,
uniform_n100000_m5_r01.txt,100000,5,no_region_reopt,103,True,12936851.399186295,12936851.399186293,2651388.9518004935,2510240.7735683983,0.011203194273300077,1.0247427561729825,343.7257308959961,343.515437,,
uniform_n100000_m5_r01.txt,100000,5,no_region_granular,101,True,12966858.030791793,12966858.030791793,2653546.4444040786,2522985.1793576367,0.010097898455511461,1.0232033226949913,344.4182097911835,344.140551,,
uniform_n100000_m5_r01.txt,100000,5,no_region_granular,102,True,12986155.30560686,12986155.30560686,2662134.917059553,2515105.7936272356,0.011482108497324856,1.0249896348883791,343.6977586746216,343.378142,,
uniform_n100000_m5_r01.txt,100000,5,no_region_granular,103,True,13057320.629160766,13057320.629160766,2638485.689378631,2576274.412027251,0.005291384231342864,1.0103472849882122,344.0753140449524,343.779845,,
uniform_n100000_m5_r01.txt,100000,5,no_classic_seeds,101,True,13148032.363447517,13148032.363447517,2778992.3084336785,2491471.8797374004,0.019357602619472166,1.0568091983708066,316.8668088912964,316.708586,,
uniform_n100000_m5_r01.txt,100000,5,no_classic_seeds,102,True,12894364.766348436,12894364.766348438,2697757.213491593,2503358.307304803,0.013509048708748493,1.0460993086422405,317.33215069770813,317.003325,,
uniform_n100000_m5_r01.txt,100000,5,no_classic_seeds,103,True,12991470.424442705,12991470.424442705,2671303.696257837,2518182.831180348,0.01027432105459763,1.028099056143765,316.12448930740356,315.871123,,
uniform_n100000_m5_r01.txt,100000,5,no_rebalance,101,True,12945943.270934138,12945943.270934137,2645288.416226716,2530063.4874423943,0.00984589265335196,1.0216669271855385,343.49255084991455,343.263502,,
uniform_n100000_m5_r01.txt,100000,5,no_rebalance,102,True,12906452.47645339,12906452.47645339,2636763.154076651,2509910.6770962174,0.009462626970703339,1.021490281271007,343.5607998371124,343.354896,,
uniform_n100000_m5_r01.txt,100000,5,no_rebalance,103,True,12934929.186559562,12934929.186559562,2655375.5319371987,2525424.427184267,0.009929999748658797,1.0264360529690215,343.69465160369873,343.4538,,
