source,instance,family,n,m,solver,objective,time_seconds,makespan,sum,mean,min_route,min_nonempty,range,std,mad,gini,balance_ratio,n_nonempty,n_empty
extended_n50000_results.csv,uniform_n50000_m5_r01.txt,uniform,50000,5,lkh_v21_minsum_cap,4516100.198040825,162.398078,937062.3552146322,4516100.198040825,903220.039608165,868511.5271796873,868511.5271796873,68550.82803494495,25745.068282545555,22830.63026989277,0.016025417809371376,1.037468517218848,5,0
extended_n50000_results.csv,uniform_n50000_m5_r01.txt,uniform,50000,5,lkh_v21_minsum_depot2m_plus,4656871.344475523,291.379352,2697661.0467257993,4656871.344475523,931374.2688951045,136.5849955449004,136.5849955449004,2697524.4617302543,1164183.0348245632,1117447.0393069214,0.631632288085417,2.8964307226632453,5,0
extended_n50000_results.csv,uniform_n50000_m7_r01.txt,uniform,50000,7,2opt+greed,5083695.978183911,16.301846,795148.0094685733,5083695.978183911,726242.2825977016,694473.318931974,694473.318931974,100674.69053659926,33352.35223748691,26143.458872218765,0.023985893299720958,1.0948798059848597,7,0
extended_n50000_results.csv,uniform_n50000_m7_r01.txt,uniform,50000,7,lkh-wrapper-v21,5050382.941041298,515.098699,782866.3991755667,5050382.941041298,721483.277291614,685782.1759903496,685782.1759903496,97084.22318521712,30521.999327565667,24538.719906748523,0.022457884412288544,1.0850790639450159,7,0
extended_n50000_results.csv,uniform_n50000_m7_r01.txt,uniform,50000,7,lkh_v21_minsum,4827251.44026437,155.42282,726727.22998641,4827251.44026437,689607.3486091958,653057.7284701398,653057.7284701398,73669.50151627022,22160.8182049362,18569.266759627248,0.017979270175759794,1.0538275606431367,7,0
extended_n50000_results.csv,uniform_n50000_m7_r01.txt,uniform,50000,7,lkh_v21_minsum_cap,4841430.641300252,158.719555,721222.8321717513,4841430.641300252,691632.9487571788,662831.5003906458,662831.5003906458,58391.33178110549,20142.505919326075,18708.559822721672,0.016232266763201875,1.0427826399360292,7,0
extended_n50000_results.csv,uniform_n50000_m7_r01.txt,uniform,50000,7,lkh_v21_minsum_depot2m_plus,4774825.206989666,286.872695,1982629.4464570512,4774825.206989666,682117.8867128094,82.13833514261262,82.13833514261262,1982547.3081219087,781836.6293721315,718599.598248147,0.6077245043652321,2.906578884790032,7,0
extended_n100000_results.csv,clustered-center_n100000_m5_r01.txt,clustered-center,100000,5,2opt+greed,3225438.178674969,191.42137,668223.5650155058,3225438.178674969,645087.6357349937,628067.0938494416,628067.0938494416,40156.47116606415,13896.052055371221,11298.261097337561,0.011918472989118497,1.0358647848739988,5,0
extended_n100000_results.csv,clustered-center_n100000_m5_r01.txt,clustered-center,100000,5,lkh-wrapper-v21,3191901.686664297,350.891987,657575.4101725594,3191901.6866642963,638380.3373328593,624020.7976382432,624020.7976382432,33554.61253431626,11418.38635354556,9018.70385688087,0.009848140443760173,1.030068396091109,5,0
extended_n100000_results.csv,clustered-center_n100000_m5_r01.txt,clustered-center,100000,5,lkh_v21_minsum,3082788.176728173,343.347126,638782.2582110207,3082788.1767281727,616557.6353456345,602907.1447385101,602907.1447385101,35875.113472510595,12476.819250752163,9941.735939492914,0.010866865199061937,1.0360463022291944,5,0
extended_n100000_results.csv,clustered-center_n100000_m5_r01.txt,clustered-center,100000,5,lkh_v21_minsum_cap,3082153.7196941557,317.188439,643201.3690556397,3082153.7196941557,616430.7439388311,602946.2236666298,602946.2236666298,40255.145389009966,14404.759804233603,11066.984268980403,0.012048037844804077,1.0434284392529667,5,0
extended_n100000_results.csv,clustered-center_n100000_m5_r01.txt,clustered-center,100000,5,lkh_v21_minsum_depot2m_plus,2910805.768238313,403.544482,964414.9941072087,2910805.768238313,582161.1536476626,284077.97359627957,284077.97359627957,680337.0205109292,252326.46527920334,231647.24125462017,0.2403019591226363,1.6566117269495706,5,0
extended_n100000_results.csv,clustered-center_n100000_m7_r01.txt,clustered-center,100000,7,2opt+greed,2781606.869185579,165.038671,400007.81395180325,2781606.869185579,397372.40988365415,390821.32475409255,390821.32475409255,9186.489197710704,3355.1791308343086,2916.88471567896,0.0041892851469663515,1.006632076114496,7,0
extended_n100000_results.csv,clustered-center_n100000_m7_r01.txt,clustered-center,100000,7,lkh-wrapper-v21,2757683.5899866107,351.716515,398363.67384527053,2757683.58998661,393954.79856951575,385385.08423961105,385385.08423961105,12978.58960565948,4104.726186166149,3283.701796815373,0.005460485325962069,1.0111913226892115,7,0
extended_n100000_results.csv,clustered-center_n100000_m7_r01.txt,clustered-center,100000,7,lkh_v21_minsum,2678928.7162824064,343.598936,393292.95627788646,2678928.716282407,382704.10232605814,365530.69673223293,365530.69673223293,27762.259545653535,8593.218930902372,6734.949841140836,0.012132202549985297,1.0276685143625839,7,0
extended_n100000_results.csv,clustered-center_n100000_m7_r01.txt,clustered-center,100000,7,lkh_v21_minsum_cap,2681115.2837840086,343.477937,390996.7757277352,2681115.2837840086,383016.46911200124,366784.0352086655,366784.0352086655,24212.740519069717,8156.710733920457,6749.704848836509,0.011393533657053761,1.02083541377277,7,0
extended_n100000_results.csv,clustered-center_n100000_m7_r01.txt,clustered-center,100000,7,lkh_v21_minsum_depot2m_plus,2470394.8877904243,404.44279,822774.9072818515,2470394.887790424,352913.55539863196,16118.046217127036,16118.046217127036,806656.8610647245,300147.79212440096,248737.23764738097,0.4657959503656247,2.331378023585662,7,0
extended_n100000_results.csv,clustered-offset-depot_n100000_m5_r01.txt,clustered-offset-depot,100000,5,2opt+greed,2992415.923695185,213.218744,613770.563882473,2992415.923695185,598483.1847390371,581381.4915249068,581381.4915249068,32389.072357566212,12088.827338871151,11168.617241285556,0.011211063214276607,1.0255435399577715,5,0
extended_n100000_results.csv,clustered-offset-depot_n100000_m5_r01.txt,clustered-offset-depot,100000,5,lkh-wrapper-v21,2963946.590332398,355.388656,605637.0176103873,2963946.5903323987,592789.3180664798,573951.1767539711,573951.1767539711,31685.84085641615,11616.979168353484,10271.613485170714,0.01082527147578995,1.021673298003772,5,0
extended_n100000_results.csv,clustered-offset-depot_n100000_m5_r01.txt,clustered-offset-depot,100000,5,lkh_v21_minsum,2888518.645970866,343.48685,586219.7461997524,2888518.645970866,577703.7291941732,566983.8543147438,566983.8543147438,19235.891885008663,7068.421951426529,6508.223701681546,0.0067529731638335,1.0147411494425664,5,0
extended_n100000_results.csv,clustered-offset-depot_n100000_m5_r01.txt,clustered-offset-depot,100000,5,lkh_v21_minsum_cap,2900333.026737571,343.49889,593898.8440368518,2900333.026737571,580066.6053475143,570962.654298774,570962.654298774,22936.18973807781,8439.456686599493,6995.793252253066,0.007951156470409526,1.0238459490027885,5,0
extended_n100000_results.csv,clustered-offset-depot_n100000_m5_r01.txt,clustered-offset-depot,100000,5,lkh_v21_minsum_depot2m_plus,2550600.7620285433,411.429768,2487648.892734323,2550600.7620285433,510120.1524057087,15731.702355705185,15731.702355705185,2471917.190378618,988764.3701771058,791011.4961314459,0.7753224988038477,4.876594035743655,5,0
extended_n100000_results.csv,clustered-offset-depot_n100000_m7_r01.txt,clustered-offset-depot,100000,7,2opt+greed,2879891.016660712,137.439829,453846.08924918703,2879891.0166607127,411413.0023801018,384329.56282566005,384329.56282566005,69516.52642352699,21243.65749197044,16387.275334864156,0.02784647596889964,1.1031398779902477,7,0
extended_n100000_results.csv,clustered-offset-depot_n100000_m7_r01.txt,clustered-offset-depot,100000,7,lkh-wrapper-v21,2851049.7738778363,351.077055,449085.84850461944,2851049.7738778363,407292.8248396909,379975.29855901375,379975.29855901375,69110.54994560569,20951.658430304047,15859.72428977709,0.027889511983293223,1.1026117356262737,7,0
extended_n100000_results.csv,clustered-offset-depot_n100000_m7_r01.txt,clustered-offset-depot,100000,7,lkh_v21_minsum,2793099.105097852,343.513801,412876.26993189147,2793099.1050978526,399014.15787112183,391263.9465609617,391263.9465609617,21612.32337092975,6914.955748748391,5773.840467486398,0.009263061474122009,1.0347409027657786,7,0
extended_n100000_results.csv,clustered-offset-depot_n100000_m7_r01.txt,clustered-offset-depot,100000,7,lkh_v21_minsum_cap,2785109.912820494,343.51064,408922.6863650119,2785109.9128204933,397872.8446886419,386995.77786975744,386995.77786975744,21926.908495254465,7453.337235752661,6115.516085777731,0.010482224968270245,1.027772294148441,7,0
extended_n100000_results.csv,clustered-offset-depot_n100000_m7_r01.txt,clustered-offset-depot,100000,7,lkh_v21_minsum_depot2m_plus,2508208.77685077,420.231321,2371570.443952403,2508208.77685077,358315.53955011006,22516.145737781146,22516.145737781146,2349054.298214622,821907.9732157955,575215.6869720838,0.8030370822204179,6.6186647861548895,7,0
