solver,family,m,instance,valid,timed_out,t_actual_s,sum,makespan,min_route,gini,std,n_nonempty,n_routes,error,stdout_tail
alns_minsum,mixed,100,mixed_n10000_m100_r01.txt,True,False,36.4693922996521,610139.3240277525,20872.966119143483,1919.6825587405935,0.3207572811109018,3566.0876474801616,96,100,,
filo2,mixed,100,mixed_n10000_m100_r01.txt,True,False,75.42107629776001,5820257.381671771,337677.7574020669,12333.16528182297,0.5105041558534635,87810.91949000438,102,102,,
alns_minsum,mixed-outliers,10,mixed-outliers_n10000_m10_r01.txt,True,False,37.716065645217896,6798.808361904336,856.4856007460777,487.4306411130171,0.09199819401262913,110.60362829692714,10,10,,
filo2,mixed-outliers,10,mixed-outliers_n10000_m10_r01.txt,True,False,75.28709101676941,432428.6673918333,43979.43544828084,18699.18861040429,0.1125454905650263,7556.4438375706295,12,12,,
alns_minsum,mixed-outliers,30,mixed-outliers_n10000_m30_r01.txt,True,False,36.36888003349304,10327.249138394687,800.7593369679043,264.6060439447013,0.1461029701358573,114.86593957198419,29,30,,
filo2,mixed-outliers,30,mixed-outliers_n10000_m30_r01.txt,True,False,75.32073545455933,463459.7331454268,16602.407759585076,6842.348773090627,0.0656756219005656,2167.8155575436645,32,32,,
alns_minsum,mixed-outliers,50,mixed-outliers_n10000_m50_r01.txt,True,False,36.90583038330078,14894.153178623043,463.3577642311941,143.89301808252512,0.1317901438643109,70.0089614153547,50,50,,
filo2,mixed-outliers,50,mixed-outliers_n10000_m50_r01.txt,True,False,75.55808758735657,454111.5019330125,10159.912008682575,5952.859418579717,0.05376586005026749,902.8152257744085,52,52,,
alns_minsum,mixed-outliers,80,mixed-outliers_n10000_m80_r01.txt,True,False,36.4886314868927,19611.91799493875,559.3180975742605,195.52745121985527,0.13846868717633545,72.04547476560778,77,80,,
filo2,mixed-outliers,80,mixed-outliers_n10000_m80_r01.txt,True,False,75.13200902938843,455077.95630119334,6654.989466316282,4094.506180548614,0.041450457453104904,428.3993274283561,81,81,,
alns_minsum,mixed-outliers,100,mixed-outliers_n10000_m100_r01.txt,True,False,36.80558395385742,22445.73726975388,537.676152856431,92.98286808964501,0.16019936603474716,73.04013260110628,96,100,,
filo2,mixed-outliers,100,mixed-outliers_n10000_m100_r01.txt,True,False,75.00892329216003,436305.8414834397,4960.018919939674,1305.9326493766373,0.043918919589568374,414.1125933286499,101,101,,
alns_minsum,outliers,10,outliers_n10000_m10_r01.txt,True,False,37.27640652656555,241185.51688369308,34038.54722393211,8979.686091714084,0.22025340266716778,10116.702616543129,10,10,,
filo2,outliers,10,outliers_n10000_m10_r01.txt,True,False,75.52315711975098,6357688.785562792,3105774.9434788534,57345.0523862853,0.5587633425219231,820414.6413903482,12,12,,
alns_minsum,outliers,30,outliers_n10000_m30_r01.txt,True,False,36.006797790527344,304381.06262634037,42385.322695364,5407.568319078534,0.3525210311962265,8054.915516933095,29,30,,
filo2,outliers,30,outliers_n10000_m30_r01.txt,True,False,75.32891488075256,6459043.35072952,1112426.8337648828,44690.401314525836,0.5499920038412845,296799.96856292675,32,32,,
alns_minsum,outliers,50,outliers_n10000_m50_r01.txt,True,False,36.455090045928955,473173.8275961365,23381.243664142698,2608.3778815942887,0.3286374295042656,5596.74780708888,49,50,,
filo2,outliers,50,outliers_n10000_m50_r01.txt,True,False,74.97521662712097,6390656.127732619,615073.8650551542,15639.313921933051,0.5486032637206404,173308.25729025638,55,55,,
alns_minsum,outliers,80,outliers_n10000_m80_r01.txt,True,False,36.452714920043945,547899.3858752204,18690.049087416653,1961.2059987645093,0.27710856280480584,3548.82570251355,78,80,,
filo2,outliers,80,outliers_n10000_m80_r01.txt,True,False,75.55141139030457,6481050.464727704,413698.2706367023,17985.536482041865,0.5257655822466235,109366.10998009038,84,84,,
alns_minsum,outliers,100,outliers_n10000_m100_r01.txt,True,False,37.08870887756348,601835.9286017423,26938.85566659372,1867.6442371510875,0.348249409439019,4081.9424750270236,94,100,,
filo2,outliers,100,outliers_n10000_m100_r01.txt,True,False,75.22398591041565,6486186.543723523,329749.31511220307,6311.663890753463,0.5296150938291234,88648.68320898361,105,105,,
