base,n,m,instance_filename,solver,seed,time_seconds,valid,objective,sum,makespan,min_route,range,std,gini,balance_ratio,n_nonempty
berlin52,52,3,berlin52_m3.txt,lkh_v21_minsum,3,13.257971,True,7544.365901904087,7544.365901904087,7544.365901904087,0.0,7544.365901904087,3556.4481926592957,0.6666666666666666,3.0,1
berlin52,52,3,berlin52_m3.txt,lkh_v21_minsum,4,13.25023,True,7544.365901904087,7544.365901904087,7544.365901904087,0.0,7544.365901904087,3556.4481926592957,0.6666666666666666,3.0,1
berlin52,52,3,berlin52_m3.txt,lkh_v21_minsum,5,13.246626,True,7544.365901904087,7544.365901904087,7544.365901904087,0.0,7544.365901904087,3556.4481926592957,0.6666666666666666,3.0,1
berlin52,52,3,berlin52_m3.txt,lkh_v21_minsum_cap,1,13.242518,True,7544.365901904087,7544.365901904087,7544.365901904087,0.0,7544.365901904087,3556.4481926592957,0.6666666666666666,3.0,1
berlin52,52,3,berlin52_m3.txt,lkh_v21_minsum_cap,2,13.282102,True,7544.36590190409,7544.36590190409,7544.36590190409,0.0,7544.36590190409,3556.448192659297,0.6666666666666666,3.0,1
berlin52,52,3,berlin52_m3.txt,lkh_v21_minsum_cap,3,13.301092,True,7598.442340904543,7598.442340904543,7598.442340904543,0.0,7598.442340904543,3581.940070472391,0.6666666666666666,3.0,1
berlin52,52,3,berlin52_m3.txt,lkh_v21_minsum_cap,4,13.251465,True,7544.36590190409,7544.36590190409,7544.36590190409,0.0,7544.36590190409,3556.448192659297,0.6666666666666666,3.0,1
berlin52,52,3,berlin52_m3.txt,lkh_v21_minsum_cap,5,13.251806,True,7544.36590190409,7544.36590190409,7544.36590190409,0.0,7544.36590190409,3556.448192659297,0.6666666666666666,3.0,1
berlin52,52,3,berlin52_m3.txt,2opt+greed,1,8.3e-05,True,11514.58918142931,11514.58918142931,5250.0987729547105,2345.3214284956102,2904.7773444591003,1187.2518056430192,0.1681795328627625,1.3678556890476088,3
berlin52,52,3,berlin52_m3.txt,2opt+greed,2,9.1e-05,True,11514.58918142931,11514.58918142931,5250.0987729547105,2345.3214284956102,2904.7773444591003,1187.2518056430192,0.1681795328627625,1.3678556890476088,3
berlin52,52,3,berlin52_m3.txt,2opt+greed,3,9.8e-05,True,11514.58918142931,11514.58918142931,5250.0987729547105,2345.3214284956102,2904.7773444591003,1187.2518056430192,0.1681795328627625,1.3678556890476088,3
berlin52,52,3,berlin52_m3.txt,2opt+greed,4,8.6e-05,True,11514.58918142931,11514.58918142931,5250.0987729547105,2345.3214284956102,2904.7773444591003,1187.2518056430192,0.1681795328627625,1.3678556890476088,3
berlin52,52,3,berlin52_m3.txt,2opt+greed,5,0.0001,True,11514.58918142931,11514.58918142931,5250.0987729547105,2345.3214284956102,2904.7773444591003,1187.2518056430192,0.1681795328627625,1.3678556890476088,3
berlin52,52,5,berlin52_m5.txt,lkh_v21_minsum,1,13.241661,True,7544.365901904087,7544.365901904087,7544.365901904087,0.0,7544.365901904087,3017.7463607616346,0.8,5.0,1
berlin52,52,5,berlin52_m5.txt,lkh_v21_minsum,2,13.248009,True,7544.36590190409,7544.36590190409,7544.36590190409,0.0,7544.36590190409,3017.746360761636,0.8000000000000002,5.0,1
berlin52,52,5,berlin52_m5.txt,lkh_v21_minsum,3,13.233938,True,7544.365901904087,7544.365901904087,7544.365901904087,0.0,7544.365901904087,3017.7463607616346,0.8,5.0,1
berlin52,52,5,berlin52_m5.txt,lkh_v21_minsum,4,13.234071,True,7544.36590190409,7544.36590190409,7544.36590190409,0.0,7544.36590190409,3017.746360761636,0.8000000000000002,5.0,1
berlin52,52,5,berlin52_m5.txt,lkh_v21_minsum,5,13.237887,True,7544.365901904087,7544.365901904087,7544.365901904087,0.0,7544.365901904087,3017.7463607616346,0.8,5.0,1
berlin52,52,5,berlin52_m5.txt,lkh_v21_minsum_cap,1,13.248616,True,7544.36590190409,7544.36590190409,7544.36590190409,0.0,7544.36590190409,3017.746360761636,0.8000000000000002,5.0,1
berlin52,52,5,berlin52_m5.txt,lkh_v21_minsum_cap,2,13.234718,True,7544.365901904087,7544.365901904087,7544.365901904087,0.0,7544.365901904087,3017.7463607616346,0.8,5.0,1
berlin52,52,5,berlin52_m5.txt,lkh_v21_minsum_cap,3,13.239832,True,7619.153101381147,7619.153101381147,7619.153101381147,0.0,7619.153101381147,3047.661240552459,0.8,5.0,1
berlin52,52,5,berlin52_m5.txt,lkh_v21_minsum_cap,4,13.247628,True,7629.872461527248,7629.872461527248,7629.872461527248,0.0,7629.872461527248,3051.948984610899,0.8000000000000002,5.0,1
berlin52,52,5,berlin52_m5.txt,lkh_v21_minsum_cap,5,13.242429,True,7544.365901904087,7544.365901904087,7544.365901904087,0.0,7544.365901904087,3017.7463607616346,0.8,5.0,1
berlin52,52,5,berlin52_m5.txt,2opt+greed,1,5.6e-05,True,14308.970758243046,14308.970758243047,4664.55962982783,1522.1753840148122,3142.3842458130175,1054.7099542589044,0.20086266482097814,1.6299424006931775,5
berlin52,52,5,berlin52_m5.txt,2opt+greed,2,7.1e-05,True,14308.970758243046,14308.970758243047,4664.55962982783,1522.1753840148122,3142.3842458130175,1054.7099542589044,0.20086266482097814,1.6299424006931775,5
berlin52,52,5,berlin52_m5.txt,2opt+greed,3,6.7e-05,True,14308.970758243046,14308.970758243047,4664.55962982783,1522.1753840148122,3142.3842458130175,1054.7099542589044,0.20086266482097814,1.6299424006931775,5
berlin52,52,5,berlin52_m5.txt,2opt+greed,4,4.6e-05,True,14308.970758243046,14308.970758243047,4664.55962982783,1522.1753840148122,3142.3842458130175,1054.7099542589044,0.20086266482097814,1.6299424006931775,5
berlin52,52,5,berlin52_m5.txt,2opt+greed,5,8.7e-05,True,14308.970758243046,14308.970758243047,4664.55962982783,1522.1753840148122,3142.3842458130175,1054.7099542589044,0.20086266482097814,1.6299424006931775,5
berlin52,52,7,berlin52_m7.txt,lkh_v21_minsum,1,13.240983,True,7544.365901904087,7544.365901904087,7544.365901904087,0.0,7544.365901904087,2639.97812750246,0.8571428571428573,7.0,1
berlin52,52,7,berlin52_m7.txt,lkh_v21_minsum,2,13.2335,True,7544.365901904087,7544.365901904087,7544.365901904087,0.0,7544.365901904087,2639.97812750246,0.8571428571428573,7.0,1
berlin52,52,7,berlin52_m7.txt,lkh_v21_minsum,3,13.242116,True,7544.365901904087,7544.365901904087,7544.365901904087,0.0,7544.365901904087,2639.97812750246,0.8571428571428573,7.0,1
berlin52,52,7,berlin52_m7.txt,lkh_v21_minsum,4,13.23482,True,7544.36590190409,7544.36590190409,7544.36590190409,0.0,7544.36590190409,2639.978127502461,0.8571428571428573,7.0,1
berlin52,52,7,berlin52_m7.txt,lkh_v21_minsum,5,13.245293,True,7544.365901904087,7544.365901904087,7544.365901904087,0.0,7544.365901904087,2639.97812750246,0.8571428571428573,7.0,1
berlin52,52,7,berlin52_m7.txt,lkh_v21_minsum_cap,1,13.238876,True,7746.347859668593,7746.347859668593,7746.347859668593,0.0,7746.347859668593,2710.657089469806,0.857142857142857,7.000000000000001,1
berlin52,52,7,berlin52_m7.txt,lkh_v21_minsum_cap,2,13.238715,True,7544.36590190409,7544.36590190409,7544.36590190409,0.0,7544.36590190409,2639.978127502461,0.8571428571428573,7.0,1
berlin52,52,7,berlin52_m7.txt,lkh_v21_minsum_cap,3,13.257103,True,7544.365901904087,7544.365901904087,7544.365901904087,0.0,7544.365901904087,2639.97812750246,0.8571428571428573,7.0,1
berlin52,52,7,berlin52_m7.txt,lkh_v21_minsum_cap,4,13.237353,True,7619.153101381147,7619.153101381147,7619.153101381147,0.0,7619.153101381147,2666.14819578968,0.8571428571428571,7.0,1
berlin52,52,7,berlin52_m7.txt,lkh_v21_minsum_cap,5,13.237059,True,7619.153101381147,7619.153101381147,7619.153101381147,0.0,7619.153101381147,2666.14819578968,0.8571428571428571,7.0,1
berlin52,52,7,berlin52_m7.txt,2opt+greed,1,3.4e-05,True,19361.751178556857,19361.75117855686,4592.969466651577,1700.1761263683127,2892.793340283264,883.0866316607054,0.17051951365427115,1.6605309080806716,7
berlin52,52,7,berlin52_m7.txt,2opt+greed,2,4.4e-05,True,19361.751178556857,19361.75117855686,4592.969466651577,1700.1761263683127,2892.793340283264,883.0866316607054,0.17051951365427115,1.6605309080806716,7
berlin52,52,7,berlin52_m7.txt,2opt+greed,3,3.5e-05,True,19361.751178556857,19361.75117855686,4592.969466651577,1700.1761263683127,2892.793340283264,883.0866316607054,0.17051951365427115,1.6605309080806716,7
berlin52,52,7,berlin52_m7.txt,2opt+greed,4,3.9e-05,True,19361.751178556857,19361.75117855686,4592.969466651577,1700.1761263683127,2892.793340283264,883.0866316607054,0.17051951365427115,1.6605309080806716,7
berlin52,52,7,berlin52_m7.txt,2opt+greed,5,3.6e-05,True,19361.751178556857,19361.75117855686,4592.969466651577,1700.1761263683127,2892.793340283264,883.0866316607054,0.17051951365427115,1.6605309080806716,7
eil76,76,2,eil76_m2.txt,lkh_v21_minsum,1,13.233587,True,544.3690526708283,544.3690526708283,544.3690526708283,0.0,544.3690526708283,272.18452633541415,0.5,2.0,1
eil76,76,2,eil76_m2.txt,lkh_v21_minsum,2,13.244064,True,544.3690526708283,544.3690526708283,544.3690526708283,0.0,544.3690526708283,272.18452633541415,0.5,2.0,1
eil76,76,2,eil76_m2.txt,lkh_v21_minsum,3,13.240659,True,544.3690526708283,544.3690526708283,544.3690526708283,0.0,544.3690526708283,272.18452633541415,0.5,2.0,1
eil76,76,2,eil76_m2.txt,lkh_v21_minsum,4,13.24569,True,544.3690526708283,544.3690526708283,544.3690526708283,0.0,544.3690526708283,272.18452633541415,0.5,2.0,1
eil76,76,2,eil76_m2.txt,lkh_v21_minsum,5,13.259386,True,544.3690526708285,544.3690526708285,544.3690526708285,0.0,544.3690526708285,272.18452633541426,0.5,2.0,1
eil76,76,2,eil76_m2.txt,lkh_v21_minsum_cap,1,13.239098,True,555.9716033877278,555.9716033877278,555.9716033877278,0.0,555.9716033877278,277.9858016938639,0.5,2.0,1
eil76,76,2,eil76_m2.txt,lkh_v21_minsum_cap,2,13.235001,True,555.7193713019891,555.7193713019891,351.1490412663015,204.5703300356876,146.5787112306139,73.28935561530695,0.1318819522947312,1.2637639045894624,2
eil76,76,2,eil76_m2.txt,lkh_v21_minsum_cap,3,13.236383,True,555.7193713019891,555.7193713019891,351.1490412663015,204.5703300356876,146.5787112306139,73.28935561530695,0.1318819522947312,1.2637639045894624,2
eil76,76,2,eil76_m2.txt,lkh_v21_minsum_cap,4,13.23873,True,555.7193713019891,555.7193713019891,351.1490412663015,204.5703300356876,146.5787112306139,73.28935561530695,0.1318819522947312,1.2637639045894624,2
eil76,76,2,eil76_m2.txt,lkh_v21_minsum_cap,5,13.235688,True,555.7193713019891,555.7193713019891,351.1490412663015,204.5703300356876,146.5787112306139,73.28935561530695,0.1318819522947312,1.2637639045894624,2
eil76,76,2,eil76_m2.txt,2opt+greed,1,0.000128,True,760.1345036014915,760.1345036014915,394.88656572074285,365.2479378807486,29.63862783999423,14.819313919997114,0.019495646954300467,1.038991293908601,2
eil76,76,2,eil76_m2.txt,2opt+greed,2,0.000129,True,760.1345036014915,760.1345036014915,394.88656572074285,365.2479378807486,29.63862783999423,14.819313919997114,0.019495646954300467,1.038991293908601,2
eil76,76,2,eil76_m2.txt,2opt+greed,3,8.7e-05,True,760.1345036014915,760.1345036014915,394.88656572074285,365.2479378807486,29.63862783999423,14.819313919997114,0.019495646954300467,1.038991293908601,2
eil76,76,2,eil76_m2.txt,2opt+greed,4,0.000149,True,760.1345036014915,760.1345036014915,394.88656572074285,365.2479378807486,29.63862783999423,14.819313919997114,0.019495646954300467,1.038991293908601,2
eil76,76,2,eil76_m2.txt,2opt+greed,5,0.000133,True,760.1345036014915,760.1345036014915,394.88656572074285,365.2479378807486,29.63862783999423,14.819313919997114,0.019495646954300467,1.038991293908601,2
eil76,76,3,eil76_m3.txt,lkh_v21_minsum,1,13.276809,True,544.3690526708285,544.3690526708285,544.3690526708285,0.0,544.3690526708285,256.6180324077598,0.6666666666666666,3.0,1
