instance,n,m,mode,time_seconds,n_routes,valid,sum,makespan,min_route,range,std,gini,balance_ratio,n_nonempty
clustered-center_n200_m7_r01.txt,200,7,minmax_balanced,25.428555727005005,7,True,0.8663393372699658,0.14677551662627322,0.013319522664119766,0.13345599396215346,0.04551336390541034,0.14425993629360429,1.185942473328726,7
clustered-center_n200_m7_r02.txt,200,7,minsum_default,0.7808165550231934,7,True,0.7120066429157349,0.6122350029459098,0.013096235336920302,0.5991387676089897,0.20846026729169534,0.7323119734250932,6.019108196900025,7
clustered-center_n200_m7_r02.txt,200,7,minsum_balanced,66.2613844871521,7,True,0.9037046697798334,0.15171464760884756,0.10018552235578307,0.05152912525306451,0.014795281316830144,0.061888436606193746,1.1751654813520716,7
clustered-center_n200_m7_r02.txt,200,7,minmax_balanced,45.67612624168396,7,True,0.8774170926811202,0.12959936616045653,0.10889854496251855,0.02070082119793797,0.006962905635106748,0.024581732575561788,1.03393878543109,7
clustered-center_n200_m7_r03.txt,200,7,minsum_default,0.6825523376464844,7,True,0.8273618998132334,0.6707483831891113,0.018841284457276265,0.651907098731835,0.225610668977636,0.6815667632694639,5.674951533764935,7
clustered-center_n200_m7_r03.txt,200,7,minsum_balanced,24.65919017791748,7,True,0.9843369349351431,0.18051249412814763,0.08523915171077312,0.09527334241737452,0.03215009937510052,0.12815607319213046,1.283694042203435,7
clustered-center_n200_m7_r03.txt,200,7,minmax_balanced,16.146528959274292,7,True,0.9388584657208285,0.1591267677894045,0.018841284457276265,0.14028548333212823,0.04741909505035208,0.14118611721085852,1.1864273638632215,7
clustered-center_n500_m3_r01.txt,500,3,minsum_default,4.245465278625488,3,True,1.0396877503552342,1.0196115781792965,0.0030174857083340115,1.0165940924709624,0.47595202896056416,0.6518585938413521,2.94207057214319,3
clustered-center_n500_m3_r01.txt,500,3,minsum_balanced,29.040754556655884,3,True,1.0831990684418393,0.43332769387992126,0.2964513580632937,0.13687633581662756,0.05614049464907068,0.08424203196156824,1.200133123738524,3
clustered-center_n500_m3_r01.txt,500,3,minmax_balanced,60.427019357681274,3,True,1.1224085483645923,0.37594307891541945,0.3708177790064845,0.005125299908934949,0.002349562559473628,0.0030442271764013072,1.0048295145199708,3
clustered-center_n500_m3_r02.txt,500,3,minsum_default,16.029541015625,3,True,1.0857706019212334,1.0790621630582624,0.0014201408380861403,1.0776420222201764,0.507096046559178,0.6616756923996814,2.9814644856350854,3
clustered-center_n500_m3_r02.txt,500,3,minsum_balanced,43.421743392944336,3,True,1.1385351267579689,0.4426721088352133,0.33078619333887554,0.11188591549633777,0.046803767198425536,0.06551454459142779,1.1664254314991822,3
clustered-center_n500_m3_r02.txt,500,3,minmax_balanced,98.29717087745667,3,True,1.146167757355823,0.38207971411278124,0.38203567782687714,4.4036285904098807e-05,1.8152506160241164e-05,2.5613636178174173e-05,1.0000622814435867,3
clustered-center_n500_m3_r03.txt,500,3,minsum_default,1.7973730564117432,3,True,1.2074512389983203,1.16706079951325,0.015343844107654374,1.1517169554055957,0.5406521300140887,0.6358942529560802,2.8996470295929027,3
clustered-center_n500_m3_r03.txt,500,3,minsum_balanced,31.91589093208313,3,True,1.2548775460917485,0.47539420049497766,0.3478265696077332,0.12756763088724443,0.05292968737919006,0.06777162243681187,1.1365113719077253,3
clustered-center_n500_m3_r03.txt,500,3,minmax_balanced,86.47849822044373,3,True,1.2476280621274656,0.41672700668132934,0.4143773609580255,0.002349645723303809,0.0010629580578806004,0.001255526811036495,1.0020462491939857,3
clustered-center_n500_m5_r01.txt,500,5,minsum_default,2.471754312515259,5,True,1.21749280831964,1.1433937335483078,0.012846053401726149,1.1305476801465817,0.4499714448997157,0.7463291841026097,4.695689887180516,5
clustered-center_n500_m5_r01.txt,500,5,minsum_balanced,107.24291467666626,5,True,1.2830311117095397,0.3141269824381619,0.180037568649286,0.13408941378887593,0.05968855062888719,0.12121980858108651,1.2241596465249078,5
clustered-center_n500_m5_r01.txt,500,5,minmax_balanced,127.44755744934082,5,True,1.299082577812911,0.2613678588351797,0.25592766486475976,0.005440193970419955,0.0020675262609182276,0.003937809713354278,1.0059709186278574,5
clustered-center_n500_m5_r02.txt,500,5,minsum_default,3.230475902557373,5,True,0.9795152598127538,0.9016415210808676,0.009526754746502084,0.8921147663343655,0.3529274321782202,0.7335703746183715,4.602488384168856,5
clustered-center_n500_m5_r02.txt,500,5,minsum_balanced,110.89430046081543,5,True,1.0327856997927556,0.25760525536019724,0.1594585513879862,0.09814670397221105,0.03583111307327668,0.09725155915477929,1.247137985217503,5
clustered-center_n500_m5_r02.txt,500,5,minmax_balanced,201.10566878318787,5,True,1.0525090589407229,0.21260949495527512,0.20668870543100626,0.005920789524268855,0.0022178556455056527,0.005657979930281837,1.0100126604575346,5
clustered-center_n500_m5_r03.txt,500,5,minsum_default,14.806230545043945,5,True,1.243917463946806,0.8362440996520458,0.013903185390406046,0.8223409142616398,0.322828399064218,0.6402217242538641,3.361332740673727,5
