instance,n,m,mode,time_seconds,valid,n_routes,sum,makespan,min_route,range,std,gini,balance_ratio,n_nonempty
eil76_m5.txt,76,5,minsum_default,0.34894704818725586,True,5,0.5813468395866924,0.524543164108357,0.010770329614269008,0.513772834494088,0.20414734944804921,0.7091268849820301,4.511447628074147,5
eil76_m5.txt,76,5,minsum_balanced,10.325130701065063,True,5,0.6776558732079457,0.19722877756159704,0.08681626565754813,0.11041251190404891,0.037085886945039136,0.15104174762224928,1.4552281280167945,5
eil76_m5.txt,76,5,minmax_balanced,11.214596509933472,True,5,0.7074009473463048,0.1470036537340817,0.12384349717761821,0.02316015655646349,0.008858902755720094,0.027219488245470397,1.0390405489668983,5
eil76_m7.txt,76,7,minsum_default,0.32865381240844727,True,7,0.6121781207591588,0.5191843071747604,0.010770329614269008,0.5084139775604913,0.17627207415275115,0.7178921124912634,5.936654752895218,7
eil76_m7.txt,76,7,minsum_balanced,12.106016159057617,True,7,0.819965354175489,0.15886923379937254,0.07807152742091021,0.08079770637846234,0.028911646668065026,0.13945934408521035,1.3562580796036896,7
eil76_m7.txt,76,7,minmax_balanced,11.072156190872192,True,7,0.8686654445199985,0.13254403787417307,0.09563481241590219,0.03690922545827087,0.011912568660193516,0.041936647458853706,1.0680846935633472,7
rat99_m2.txt,99,2,minsum_default,0.37914037704467773,True,2,1.2467731146027266,1.2183477737956228,0.02842534080710379,1.189922432988519,0.5949612164942595,0.4772008712137161,1.9544017424274323,2
rat99_m2.txt,99,2,minsum_balanced,4.64708399772644,True,2,1.3525531594248301,0.8585397689163043,0.4940133905085257,0.3645263784077786,0.1822631892038893,0.13475491734564893,1.2695098346912979,2
rat99_m2.txt,99,2,minmax_balanced,10.354289054870605,True,2,1.3506787996324392,0.6766593870720325,0.6740194125604068,0.0026399745116258374,0.0013199872558129187,0.0009772769485773577,1.0019545538971548,2
rat99_m3.txt,99,3,minsum_default,0.38465309143066406,True,3,1.276286816381629,1.2138614755745252,0.02842534080710379,1.1854361347674214,0.5575106384617584,0.6192109378299067,2.853264940123527,3
rat99_m3.txt,99,3,minsum_balanced,10.51141357421875,True,3,1.5012647741876448,0.6355264370346867,0.3261747068754043,0.30935173015928247,0.1292895913418043,0.13737382660194056,1.269982047061443,3
rat99_m3.txt,99,3,minmax_balanced,10.40237021446228,True,3,1.5649795417798145,0.5237641075126769,0.5185801401769443,0.005183967335732632,0.002225908312498787,0.0022083216627172978,1.0040337784550442,3
rat99_m5.txt,99,5,minsum_default,0.3454163074493408,True,5,1.36196642413229,1.2047405708162253,0.02842534080710379,1.1763152300091215,0.4662345621847151,0.6954133122721528,4.422798350494457,5
rat99_m5.txt,99,5,minsum_balanced,12.464884996414185,True,5,1.9258057060411402,0.5802541115395898,0.24738887941108673,0.33286523212850316,0.1365876216491721,0.19234011828672615,1.5065229833917475,5
rat99_m5.txt,99,5,minmax_balanced,10.40184760093689,True,5,1.9247444144504957,0.4933989680474143,0.034,0.4593989680474143,0.1775603529279465,0.2060067633672825,1.2817259381118327,5
rat99_m7.txt,99,7,minsum_default,0.3423323631286621,True,7,1.4708786245252259,1.203295235503421,0.02842534080710379,1.1748698946963172,0.4055694922313615,0.6949550239658103,5.726554528755061,7
rat99_m7.txt,99,7,minsum_balanced,11.429707765579224,True,7,2.469574600609714,0.5025756091197127,0.21042038176761513,0.29215522735209754,0.10491165504706583,0.1670167571160486,1.4245486906811486,7
rat99_m7.txt,99,7,minmax_balanced,11.456406116485596,True,7,2.6128090828435235,0.46328800193966213,0.049193495504995376,0.4140945064346668,0.14516477447219966,0.17627607758265137,1.2411989972295474,7
